ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001879,PR-00000838,Long Day Care,Tadpoles Early Learning Centre Cooroy,Bhl Childcare Limited,16 Lake Macdonald Drive   ,COOROY,QLD,4563,5442 6205,54426207,cooroy@tadpoles.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/14/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.tadpoles.com.au/our-locations/tadpoles-cooroy.html,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001562,PR-00001129,Long Day Care,Goodstart Early Learning Pacific Paradise,Goodstart Early Learning Ltd,42 Kowonga Street  ,PACIFIC PARADISE,QLD,4564,5448 8522,,pac@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,12/1/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.goodstart.org.au/centres/pacific-paradise/overview,"""ages 6 weeks to 6 years""",,7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001440,PR-00000158,Short Day Care,Mudjimba Community Kindergarten and Pre School,Mudjimba Community Kindergarten & Preschool Association Inc,39 Cottonwood Street  ,MUDJIMBA,QLD,4564,07 5448 7366,,mudkindy@bigpond.net.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,7/8/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000976,PR-00000332,Out of Hours Care,Paradise Kids Club,Pacific Paradise State School Parents & Citizens Association ,14-24 Menzies Drive   ,PACIFIC PARADISE,QLD,4564,54570099,07 5448 8283,paradisekidsclub1@gmail.com;   ppss.pc.operations@gmail.com, - This service is approved to provide education and care to 59 children before school and after school. This service is approved to provide education and care to children from over pre school age including school children.,59,4/16/15,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,,"""ages 5 years to 12 years""",,3.00pm - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001816,PR-00000838,Long Day Care,Tadpoles Early Learning Centre Pacific Paradise,Bhl Childcare Limited,724 David Low Way   ,PACIFIC PARADISE,QLD,4564,5450 6652,54506602,pacificparadise@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,8/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.tadpoles.com.au/our-locations/tadpoles-pacific-paradise.html,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $79.50, 36 months - 5 years: $77.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000269,PR-00008029,Long Day Care,C&K Tewantin Community Child Care Centre,The Creche and Kindergarten Association Limited,21 Moorindil Street  ,TEWANTIN,QLD,4565,07 5442 4133,54424381,b.urban@candk.asn.au, This service is approved to provide education and care to children from birth up to and including school children.  This service is approved to provide a rest period from 12.00pm to 2.00pm on - Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,50,3/12/15,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/tewantincc,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $80.00, 25 months - 5 years: 78.00""",7.30am - 5.30am,,,,,,,,,,,,,,,,,,,,,
SE-00000207,PR-00000280,Long Day Care,Noosa Outlook Childcare Centre,Karen E Brooks & Robert P Stone,Cnr Blackheath & Furness Drive  ,TEWANTIN,QLD,4565,07 5449 0480,5449 0486,noosaoutlook@westnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,8/13/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 13 months to 6 years""","""13 months - 6 years: $81.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001485,PR-00000005,Short Day Care,Tewantin Community Kindergarten and Pre-School,Tewantin Community Kindergarten & Preschool Inc,1 Doonella Street   ,TEWANTIN,QLD,4565,07 5447 1385,,tewantinc_kkindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,23,5/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/tewantin,"""ages 36 months to 5 years""","""36 months - 5 years: $26.40""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000592,PR-00000946,Long Day Care,Tewantin Early Learning Centre,Suncoast Childcare Pty Ltd ,7 Doonella Street  ,TEWANTIN,QLD,4565,07 5474 1988,5455 5637,tewantin@suncoastchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:00pm when it is 85 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 13 months to 6 years""","""13 months - 35 months: $78.50, 36 months - 6 years: $75.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002365,PR-00001199,Out of Hours Care,Tewantin State School P & C Out Of School Hours Care ,Tewantin State School Parents & Citizens Association ,Tewantin State School  Werin Street,TEWANTIN,QLD,4565,07 5335 8888; (School) 54555203 (Service),07 54490693,tsspcoshc@gmail.com, This service is approved to provide education and care to children from over preschool age including school  children.,59,8/30/15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,https://tewantinss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.50am, ASC: 2.45pm - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000325,PR-00001144,Long Day Care,Adeona Noosaville,Aeec Pty Ltd ATF Noosaville Child Care Trust ,3 Anchor St  ,NOOSAVILLE,QLD,4566,07 5449 0039,5449 8511,adeona.noosaville@adeona.com.au , This service is approved to provide education and care to children from children from 18 months up to and including school children This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003).  This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,40,11/1/14,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.adeona.com.au/,"""ages 6 weeks to 5 years""","13 months - 35 months: $77.00, 36 months - 5 years: $75.00""",7.00am - 5.30pm,,T,,,,,,,,,,,,,,,,,,,
SE-00000205,PR-00001214,Long Day Care,Busy Bees Child Care Centre,Jaconic Pty Ltd ,87 Eumundi Road  ,NOOSAVILLE,QLD,4566,07 5449 7650,07 5449 7650,busybeesccc@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is not required to comply with P3 (c) and P5 (e) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003),34,5/10/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,"""ages 13 months to 5 years""","""13 months - 35 months: $79.00, 36 months - 5 years: $75.00""",7.15am - 5.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00013936,PR-00000697,Out of Hours Care*,Good Shepherd Lutheran College OSHC,Lutheran Church of Australia Queensland District,115 Eumundi Road  ,NOOSAVILLE,QLD,4566,07 5449 8600,07 5449 8086,oshc@gslc.qld.edu.au, - This service is approved to provide education and care to 45 children after school and during school holidays. This service is approved to provide education and care to children from over preschool age including school  children.,45,6/8/16,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.qlecs.org.au/index.php?ref=MjA3MQ==,"""ages 5 years to 12 years""",,"""ASC: 2.45pm - 6.00pm, VC: 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001577,PR-00001129,Long Day Care,Goodstart Early Learning Noosaville,Goodstart Early Learning Ltd,10 Swanbourne Way  ,NOOSAVILLE,QLD,4566,5474 1300,,hcv@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 86 children  This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/4/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/noosaville/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $79.30, 25 months - 35 months: $71.60, 36 months - 6 years: $73.70""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00011353,PR-00006559,Out of Hours Care,Helping Hands Noosaville,Helping Hands Network Foundation Ltd,Noosaville State School  75 Beckmans Road,NOOSAVILLE,QLD,4566,0458 008 297,,noosaville@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,60,12/13/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002295,PR-00000697,Long Day Care,Little Lambs Early Learning Centre ,Lutheran Church of Australia Queensland District,115 Eumundi Road  ,NOOSAVILLE,QLD,4566,07 5455 8688,07 54498086,littlelambs@gslc.qld.edu.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,48,10/14/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qlecs.org.au/index.php?ref=MjAyOA==,"""ages 36 months - 5 years""",,7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00013981,PR-00007757,Long Day Care,Noosaville Child Care & Preschool Centre  Koala,Noosaville Childcare & Preschool Centre Pty Ltd ,90 Goodchap St   ,NOOSAVILLE,QLD,4566,54556533,54730978,koala@noosavillechildcare.com.au, The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,6/16/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.noosavillechildcare.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001803,PR-00007757,Long Day Care,Noosaville Child Care & Preschool Centre Pelican,Noosaville Childcare & Preschool Centre Pty Ltd ,90 Goodchap St   ,NOOSAVILLE,QLD,4566,54556033,54730766,pelican@noosavillechildcare.com.au, The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,5/31/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.noosavillechildcare.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002229,PR-00000927,Long Day Care,Bambini Early Childhood Development - Peregian Springs ,Gabrielle Giufre,6 Balgownie Drive  ,PEREGIAN SPRINGS ,QLD,4567,54712091,54712092, peregiansprings@bambiniecd.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:50pm to 4:50pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/13/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.bambiniecd.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $81.00, 25 months - 35 months: $80.00, 36 months - 5 years: $78.00""",6.30am - 6.30pm,,T,,,,,,,,,,,,,,,,,,,
SE-00002171,PR-00000927,Long Day Care,Bambini Early Childhood Development - Sunshine Beach ,Gabrielle Giufre,71 Pacific Avenue  ,SUNSHINE BEACH,QLD,4567,5474 9909,,sunshinebeach@bambiniecd.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,63,1/20/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.bambiniecd.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $82.00, 25 months - 5 years: $79.00""",7.00am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00011362,PR-00006557,Out of Hours Care*,Camp Australia - Sunshine Beach State School OSHC,The Camp Australia Foundation Ltd,David Low Way     ,SUNSHINE BEACH,QLD,4567,0423 550 621,07 53026485, qldsunshinebeach@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,75,12/13/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDSunshineBeachStateSchool/3D08,"""ages 5 years to 12 years""","""BSC: 12.87, ASC: $19.96, VC: $45.00""","""BSC: 6.30am - 8.30am, ASC: 2.45pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00002290,PR-00007777,Family Day Care,Giggle Family Day Care,Giggle FDC Pty Ltd as Trustee for Lewis-Smith Family Trust,5 Berrima Row  ,NOOSA HEADS,QLD,4567,07 5447 3710,,info@gigglefamilydaycare.com.au,,0,12/21/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000206,PR-00007777,Long Day Care,Noosa Heads Child Care Centre ,Giggle FDC Pty Ltd as Trustee for Lewis-Smith Family Trust,37 Bottlebrush Avenue  ,NOOSA HEADS,QLD,4567,07 5447 3200,,office@noosaheadschildcare.com.au, This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,26,3/17/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,www.noosaheadschildcare.com.au,"""ages 13 months - 5 years""","""13 months - 35 months: $68.00, 36 months - 5 years: $64.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000369,PR-00000809,Long Day Care,Sunshine Beach Child Care Centre,Jelly Babies Childcare Pty Ltd ,100-102 Ben Lexcen Drive   ,SUNSHINE BEACH,QLD,4567,07 5448 0422,,jelly_babies@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,86,8/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 13 months - 5 years""","""13 months - 24 months: $74.00, 25 months - 5 years: $72.00""",7.00am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001449,PR-00000408,Short Day Care,Pomona and District Kindergarten,Pomona & District Kindergarten Association Inc,21 Reserve Street  ,POMONA,QLD,4568,07 5485 1381,,pomonakindy1@bigpond.com,,24,12/20/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/pomonadistrict,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $24.60""",8.45am - 2.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00000509,PR-00000028,Long Day Care,Pomona Early Childhood Centre,Noosa Sunrise Holdings Pty. Ltd.,12 Hill Street  ,POMONA,QLD,4568,07 5485 2755,5471 0938,pecc@pomona.net.au; manager@pomona.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/18/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $74.00, 13 months - 6 years: $70.00""",6.45am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00001218,PR-00000672,Out of Hours Care*,Pomona Outside School Hours and Vacation Care,Pomona State School P & C Association ,Station Street  ,POMONA,QLD,4568,54850778,54850186,pomona.oshc@bigpond.com,,30,9/2/15,Meeting NQS,Exceeding NQS,Working Towards NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pomonass.eq.edu.au/wcms/index.php?option=com_content&view=article&id=20:out-of-school-hours-care&catid=36:our-school&Itemid=126,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001367,PR-00001018,Short Day Care,Alma St Pre-Prep ,Alma St Pre-Prep Inc.,3 Alma Street  ,GYMPIE,QLD,4570,07 5482 1960,5482 1960,gympiecandk@bigpond.com.au,,50,6/18/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/almastreet,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $27.00""",8.00am - 3.00pm,,,,,,T,$6.00,F,,,,,,,,,,,,,
SE-00014022,PR-00008029,Short Day Care,C&K Gympie South Community Kindergarten,The Creche and Kindergarten Association Limited,50 Exhibition Road   ,GYMPIE,QLD,4570,07 5481 2046,07 5481 2047,gympiesouth@candk.asn.au,,24,7/21/16,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/gympiesouth,"""ages 36 months - 5 years""","""36 months - 5 years: $29.12""",8.30am - 2.45pm,,,,,,,,,,,,,,,,,,,,,
SE-40000470,PR-00006557,Out of Hours Care*,Camp Australia - Gympie Central State School OSHC,The Camp Australia Foundation Ltd,20 Lawrence St  ,GYMPIE,QLD,4570,54802126,,qldgympie@oshccampaustralia.com.au,,30,2/9/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,NA,,,,,,,,,,,,,,,,,,,,,,,,
SE-40000766,PR-40000647,Out of Hours Care,Christian Family Vacation Care,Christian Family Assembly of God Gympie,38 Fritz Road  ,Gympie,QLD,4570,754821595,754836995,admin@gympieaog.org.au, This service is approved to provide education and care to children from over preschool age including school children. This service is approved tp provide education and care to children during school holidays only.,30,4/19/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001813,PR-00000757,"""Long Day Care, Out of Hours Care""",Day Care Of Auz,Auzcare Australia Pty Ltd,19 Stanley Street  ,GYMPIE,QLD,4570,5483 7783,5483 7729,admin@daycareofauz.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 83 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,10/18/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://daycareofauz.com.au/,"""ages 6 weeks to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001906,PR-00007779,Long Day Care,Early Learning Centre Gympie South,Smithfield Corporate Pty Ltd ATF Smithfield Corporate Unit Trust ,1 Ramsey Road  ,GYMPIE,QLD,4570,5482 9788,,elcgympiesouth@kidsincare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,70,6/14/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kidsincare.com.au/,"""ages 6 weeks to 6 years""","""6 weks - 12 months: $79.50, 13 months - 24 months: $79.00, 25 months - 35 months: $78.50, 36 months - 6 years: $75.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000815,PR-00000693,Family Day Care,Family Day Care Gympie Region,The Uniting Church in Australia Property Trust (Q.),19 Red Hill Road  ,GYMPIE,QLD,4570,754826099,5483 6194,marilyn@fdcgympie.org.au,,0,11/9/14,Working Towards NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.fdcgympie.com.au/,"""ages 6 weeks to 12 years""","""ages 6 weeks - 12 years: $5.40 - $7.00*""",12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
