SE-00002183,PR-00000659,PCYC Beenleigh - Norfolk Village School Age Care,Queensland Police-Citizens Youth Welfare Association ,Norfolk Village State School  Halfway Drive,ORMEAU,QLD,4208,07 5549 0221,739099533,kirsty.duerden@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,90,12/01/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002059,PR-00000659,PCYC Beenleigh - Ormeau School Age Care,Queensland Police-Citizens Youth Welfare Association ,Ormeau State School  Mirambeena Drive,ORMEAU,QLD,4208,0431 535 459,733571310,kirsty.duerden@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,75,10/07/10,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS
SE-00001033,PR-00000659,PCYC Beenleigh - Windaroo School Age Care,Queensland Police-Citizens Youth Welfare Association ,Windaroo State School  Mt Warren Boulevarde,MT WARREN PARK,QLD,4207,3807 1675,07 3287 3758,windaroosac@pcyc.org.au, This service may provide education and care before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,75,7/12/08,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002345,PR-00000659,PCYC Beenleigh - Woongoolba School Age Care,Queensland Police-Citizens Youth Welfare Association ,1219 Jacobs Well Road  ,WOONGOOLBA,QLD,4207,428986028,733801750,kirsty.duerden@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,36,24/01/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002010,PR-00000659,PCYC Beenleigh- Eagleby School Age Care ,Queensland Police-Citizens Youth Welfare Association ,Eagleby State School  Cnr Herses and Fryar Roads,EAGLEBY,QLD,4207,07 3807 2248,07 3380 1757,kirsty.duerden@pcyc.org.au, This service may provide education and care before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,45,14/01/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000607,PR-00000659,PCYC Beenleigh School Age Care,Queensland Police-Citizens Youth Welfare Association ,20-38 Alamein St  ,BEENLEIGH,QLD,4207,33801777,,kirsty.duerden@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children. This service is approved to provide education and care to children during school holidays only.,80,5/10/12,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000893,PR-00000659,PCYC Biloela School Age Care,Queensland Police-Citizens Youth Welfare Association , Biloela PCYC  Valentine Plains Road,BILOELA,QLD,4715,07 4992 3186,07 4992 2850,peta.achilles@pcyc.org.au,,60,15/12/08,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002074,PR-00000659,PCYC Blackwater School Age Care,Queensland Police-Citizens Youth Welfare Association ,Blackwater State School  Wey Street,BLACKWATER,QLD,4717,07 4982 5509,07 49861401,blackwatersac@pcyc.org.au,,60,15/10/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40001031,PR-00000659,PCYC Bowen School Age Care,Queensland Police-Citizens Youth Welfare Association ,Cnr Queens Road & Hay Street  ,BOWEN,QLD,4805,747861383,747864148,bowensac@pcyc.org.au,,45,12/12/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002407,PR-00000659,PCYC Bundaberg - Bundaberg West School Age Care,Queensland Police-Citizens Youth Welfare Association ,Bundaberg West State School   185 George Street,BUNDABERG,QLD,4670,07 4154 2813,07 4154 2986,hollie.hall@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.This service is approved to provide education and care to children before and after school only.,45,3/10/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000612,PR-00000659,PCYC Bundaberg School Age Care,Queensland Police-Citizens Youth Welfare Association ,37 D  Maryborough St,BUNDABERG,QLD,4670,41542813,,robert.smith@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.This service is approved to provide education and care to chidlren during school holidays only.,80,11/04/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001009,PR-00000659,PCYC Caboolture School Age Care,Queensland Police-Citizens Youth Welfare Association ,Toovey Street  ,CABOOLTURE,QLD,4510,5495 7143,5495 5659,reny.mustikawati@pcyc.org.au, The maximum number of children able to be provided with education and care after school is 60. The maximum number of children able to be provided with education and care during school holidays is 100. The maximum number of children able to be provided with education and care before school is 60.,100,26/10/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000945,PR-00000659,PCYC Cairns - Cairns West School Age Care,Queensland Police-Citizens Youth Welfare Association ,C/- Cairns West State School  Cnr Hoare and McCormack Streets,MANUNDA,QLD,4870,07 4032 2109,07 4032 5900,cairnswestsac@pcyc.org.au, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 60 The maximum number of children able to be provided with education and care during school holidays is 75,75,17/06/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000988,PR-00000659,PCYC Cairns - Whitfield School Age Care,Queensland Police-Citizens Youth Welfare Association ,Whitfield State Primary School  McManus Street,CAIRNS,QLD,4870,07 4034 2268,,whitfieldsac@pcyc.org.au,,90,27/08/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000950,PR-00000659,PCYC Cairns School Age Care,Queensland Police-Citizens Youth Welfare Association ,91-97 Macnamara Street  ,MANUNDA,QLD,4870,07 4053 1532,07 4053 6268,cairnssac@pcyc.org.au, This service may provide education and care after school and during school holidays only. The maximum number of children able to be provided with education and care after school is 60  The maximum number of children able to be provided with education and care during school holidays is 75,75,5/10/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS
SE-00002402,PR-00000659,PCYC Cape - Weipa School Age Care,Queensland Police-Citizens Youth Welfare Association ,Western Cape College  Central Avenue,WEIPA,QLD,4874,07 4060 9227, ,weipasac@pcyc.org.au, The service is approved to provide education and care to children after school and during school holidays.,60,4/10/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS
SE-00001142,PR-00000659,PCYC Carindale - Carina School Age Care,Queensland Police-Citizens Youth Welfare Association ,Carina State School  1413 Creek Road,CARINA,QLD,4152,3900 9621,07 3398 9694,carinasac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service.,75,21/10/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000621,PR-00000659,PCYC Carindale School Age Care,Queensland Police-Citizens Youth Welfare Association ,Carindale PCYC  27 Narracott St,CARINA,QLD,4152,33249652,,david.beard@pcyc.org.au,,120,24/04/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001113,PR-00000659,PCYC Carindale-Tingalpa School Age Care,Queensland Police-Citizens Youth Welfare Association ,Tingalpa State School  1546 Wynnum Road,TINGALPA,QLD,4173,33907926,07 3348 8441,tingalpasac@pcyc.org.au ,,90,18/03/09,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00001144,PR-00000659,PCYC Castle Hill School Age Care,Queensland Police-Citizens Youth Welfare Association ,Cnr Hugh & Harold Streets  ,BELGIAN GARDENS,QLD,4810,4772 3883,4721 1772,pat.ghebosu@pcyc.org.au,,130,19/10/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001926,PR-00000659,PCYC Charters Towers School Age Care,Queensland Police-Citizens Youth Welfare Association ,Enterprise Road  ,CHARTERS TOWERS,QLD,4820,07 4787 2200,747877185,mandi.groves@pcyc.org.au, This service is approved to provide education and care to children after school and during school holidays. An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service.,60,25/05/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-40000620,PR-00000659,PCYC Cooktown School Age Care,Queensland Police-Citizens Youth Welfare Association ,Cooktown Events Centre  3 May Street,COOKTOWN,QLD,4895,07 4069 5890,,cooktownsac@pcyc.org.au, This service is approved to provide education and care to children after school and during school holidays.,45,8/10/12,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001221,PR-00000659,PCYC Crestmead - Browns Plains School Age Care,Queensland Police-Citizens Youth Welfare Association ,Browns Plains State School  Ivor Street,BROWNS PLAINS,QLD,4118,07 3800 1441,07 3800 3042,wendy.ross@pcyc.org.au,,117,26/08/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00013971,PR-00000659,PCYC Crestmead - St Francis College School Age Care,Queensland Police-Citizens Youth Welfare Association ,St Francis College  64 Julie Street,CRESTMEAD,QLD,4132,07 3805 4100, ,mel.cowie@pcyc.org.au,,75,12/06/12,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS
SE-00001063,PR-00000659,PCYC Crestmead - Waterford West School Age Care,Queensland Police-Citizens Youth Welfare Association ,Waterford West State School  3-15 John Street,WATERFORD WEST,QLD,4133,07 3805 8651,07 3805 8651,wendy.ross@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,60,19/03/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS
SE-00002296,PR-00000659,PCYC Crestmead - Yugumbir School Age Care,Queensland Police-Citizens Youth Welfare Association ,Vansittart Road  ,REGENTS PARK,QLD,4118,07 3805 4100,07 3805 5383,yugumbirsac@pcyc.org.au,,100,13/07/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000931,PR-00000659,PCYC Dalby School Age Care ,Queensland Police-Citizens Youth Welfare Association ,Dalby PCYC  Cooper Street,DALBY,QLD,4405,07 4672 2400,07 4662 2865,kelly.stapleton@pcyc.org.au,,80,14/05/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00013975,PR-00000659,PCYC Deception Bay - Deception Bay North School Age Care,Queensland Police-Citizens Youth Welfare Association ,Deception Bay North State School  Old Bay Road,DECEPTION BAY,QLD,4508,3293 0166 (DBay SAC),,deceptionbaynorthsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,60,25/06/12,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002364,PR-00000659,PCYC Edmonton - Isabella School Age Care,Queensland Police-Citizens Youth Welfare Association ,C/- Isabella State School  Walker Road,EDMONTON,QLD,4869,07 4040 8780,07 4053 6268,isabellasac@pcyc.org.au,,45,10/01/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000904,PR-00000659,PCYC Fortitude Valley - Ascot School Age Care,Queensland Police-Citizens Youth Welfare Association ,56 Barlow Street  ,CLAYFIELD,QLD,4011,07 3256 0683,,ascotsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,89,14/02/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001547,PR-00000659,PCYC Fortitude Valley - Brisbane Central School Age Care,Queensland Police-Citizens Youth Welfare Association ,Brisbane Central State School  Rogers Street,SPRING HILL,QLD,4000,0407 578 273,07 3357 1310,briscentralsac@pcyc.org.au, The service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,45,10/07/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00002322,PR-00000659,PCYC Fortitude Valley - Hamilton School Age Care,Queensland Police-Citizens Youth Welfare Association ,Hamilton State School  71 Oxford St,HAMILTON,QLD,4011,0428 036 179,07 3252 9206,hamiltonsac@pcyc.org.au, This service is approved to provide education and care to children after school only. This service is approved to provide education and care to children from over preschool age including school children.,30,4/10/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00000865,PR-00000659,PCYC Gladstone School Age Care,Queensland Police-Citizens Youth Welfare Association ,Gladstone PCYC  Yarroon Street,GLADSTONE,QLD,4680,07 4972 3122,07 4972 0266,oshc@gladstone.pcyc.org.au, This service is approved to provide education and care to 66 children before school; and 107 children after school and during school holidays. An approved alternative solution relating to Performance Criteria P6 Combined play space within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004).It is a condition of the service approval that: - there is 15.25m2 per child of safe and suitable space provided per child of the approved capacity at all times.,107,27/05/11,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00002144,PR-00000659,PCYC Gold Coast - Broadbeach School Age Care,Queensland Police-Citizens Youth Welfare Association ,Broadbeach State School  Alexandria Ave,BROADBEACH,QLD,4218,07 5504 5193,33571310,katrina.carrick@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,58,15/07/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001119,PR-00000659,PCYC Gold Coast - Burleigh Heads School Age Care,Queensland Police-Citizens Youth Welfare Association ,Burleigh Heads State School  Lower Gold Coast Highway,BURLEIGH HEADS,QLD,4220,3909 9555,,narrelle.saunders@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children,60,7/01/09,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000277,PR-00000659,PCYC Gold Coast - Miami School Age Care,Queensland Police-Citizens Youth Welfare Association ,Miami State School   18 Oceanic Dr,MERMAID WATERS,QLD,4218,755385201,755380693,narrelle.saunders@pcyc.org.au, This service is approved to provide education and care to children over preschool age including school children,90,12/12/12,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001229,PR-00000659,PCYC Gold Coast - Surfers Paradise School Age Care,Queensland Police-Citizens Youth Welfare Association ,Surfers Paradise State School  St Andrews Avenue,ISLE OF CAPRI,QLD,4217,0417 394150,07 5591 6118,surfersparadisesac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P19 Combined play spaces within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service,59,27/10/11,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS
SE-00002057,PR-00000659,PCYC Gold Coast School Age Care,Queensland Police-Citizens Youth Welfare Association ,Gold Coast PCYC  180 Monaco Street,BROADBEACH WATERS,QLD,4218,07 5538 5201,07 55380693,megan.mcdowell@pcyc.org.au, The maximum number of children able to be provided with education and care during school holidays is 140 The maximum number of children able to be provided with education and care before and after school is 44 This service is approved to provide education and care to children from over preschool age including school children,140,16/07/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002244,PR-00000659,PCYC Goondiwindi - Goondiwindi SS,Queensland Police-Citizens Youth Welfare Association ,34 George Street  ,GOONDIWINDI,QLD,4390,439581048,07 4671 5688,pcycsac@pcyc.org.au,,30,19/07/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-40000613,PR-00000659,PCYC Hervey Bay School Age Care,Queensland Police-Citizens Youth Welfare Association ,O'Rourke Street  ,HERVEY BAY,QLD,4655,41245211,41247099,, This service is approved under Regulation 108 (5) to include an area of indooor space in calculating the outdooor space for the purposes of Regulation 108 (2).  This area is therefore excluded from  the calculation of indoor space.This service is approved to provide education and care to children from over preschool age including school children.This service is approved to provide education and care to children during school holidays only.,130,11/04/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000943,PR-00000659,PCYC Hills District - Everton Park SAC,Queensland Police-Citizens Youth Welfare Association ,Everton Park Primary School  Deakin Street,EVERTON PARK,QLD,4053,07 3355 5050,07 3355 5050,evertonparksac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,75,24/10/09,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001771,PR-00000659,PCYC Hills District- Stafford Heights School Age Care,Queensland Police-Citizens Youth Welfare Association ,Stafford Heights State School  Redwood Street,STAFFORD HEIGHTS,QLD,4053,07 3359 6899,07 3356 4965,may.jabbour@pcyc.org.au, An approved alternative solution relating to Performance Criteria P2 Accessibility and P16 Electrical safety precautions within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide education and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,57,21/01/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000921,PR-00000659,PCYC Inala - Acacia Ridge School Age Care,Queensland Police-Citizens Youth Welfare Association ,Acacia Ridge State School  Nyngam Street,ACACIA RIDGE,QLD,4110,3277 9623,07 3277 0631,acaciaridgesac@pcyc.org.au,,60,21/04/11,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00001026,PR-00000659,PCYC Inala - Brookfield School Age Care,Queensland Police-Citizens Youth Welfare Association ,Brookfield State School  Boscombe Road,BROOKFIELD,QLD,4069,33742107,07 3374 2563,brookfieldsac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within MP5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service.,80,11/07/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002362,PR-00000659,PCYC Inala - Inala SS School Age Care,Queensland Police-Citizens Youth Welfare Association ,Inala State School  Rosemary  Street,Durack,QLD,4077,07 3879 2093,3372 4511,inalasac@pcyc.org.au,,80,24/01/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001985,PR-00000659,PCYC Inala - Oxley School Age Care,Queensland Police-Citizens Youth Welfare Association ,Oxley State School  Bannerman Street,OXLEY,QLD,4075,07 32781488,3372 3680,oxleysac@pcyc.org.au,,90,29/01/10,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed
SE-00000961,PR-00000659,PCYC Inala - Pullenvale School Age Care,Queensland Police-Citizens Youth Welfare Association ,Pullenvale State School  120 Grandview Road,PULLENVALE,QLD,4069,07 3202 9104,07 3202 0300,pullenvalesac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P2 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 1 September 2003) applies to this service.  An approved alternative solution relating to Performance Criteria P16 Electrical Safety within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 1 September 2003) applies to this service. ,75,24/10/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002320,PR-00000659,PCYC Inala - Salisbury School Age Care,Queensland Police-Citizens Youth Welfare Association ,Salisbury State School  19 Cripps Street,SALISBURY,QLD,4107,07 3276 7232,07 3909 9533,salisburysac@pcyc.org.au ,,45,11/10/10,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00002159,PR-00000659,PCYC Inala - Upper Brookfield School Age Care,Queensland Police-Citizens Youth Welfare Association ,Upper Brookfield State School  496 Upper Brookfield Road,UPPER BROOKFIELD,QLD,4069,07 3374 3597,,upperbrookfieldsac@pcyc.org.au,,30,25/09/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
SE-00001830,PR-00000659,PCYC Inala- Bardon School Age Care,Queensland Police-Citizens Youth Welfare Association ,Bardon State School  330 Simpsons Road,BARDON,QLD,4065,07 3367 0423,,bardonsac@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,50,13/07/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS
SE-00001837,PR-00000659,PCYC Inala School Age Care,Queensland Police-Citizens Youth Welfare Association ,Inala PCYC  37 Swallow Street,INALA,QLD,4077,07 3372 2222,07 3372 3688,accounts@inala.pcyc.org.au, This service is approved to provide education and care to children during school holidays only. An approved alternative solution relating to Performance Criteria P16 Electrical Safety Precautions within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 1 November 2004) applies to this service.,120,7/10/11,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed
