ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000355,PR-00000898,Child care,Community Kids Enoggera,G8 Education Limited,62 Sicklefield Road  ,ENOGGERA,QLD,4051,07 3355 2255,3355 3466,enoggera@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 84 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,2/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.communitykids.com.au/centres/community-kids-enoggera/,12 months - 6 years,,6:15am - 6:15pm,T,T,F,,,T
SE-00000317,PR-00004831,Child care,Enoggera Child Care Centre,Mission Australia Early Learning Services Limited,2 Taurama Street  ,ENOGGERA,QLD,4051,07 3354 4633,3112 4197,els_enoggera@missionaustralia.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,5/11/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 2 years: $85.50, 2 - 3 years: $81.50, 3 - 5 years: $75.00""",6:30am - 5:30pm,F,F,F,,,F
SE-00000621,PR-00000446,Child care,Enoggera Early Education,Gardiner Developments Pty Ltd,238 Pickering Street  ,ENOGGERA,QLD,4051,07 3855 3611,,jcgardiner@optusnet.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,4/30/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=29&name=Pickering+Street+Early+Education+Centre,6 weeks - 6 years,"""6 weeks - 2 years: $84.00, 2 - 3 years: $82.00, 3 - 5 years: $80.00""",6:30am - 6:30pm,T,T,F,T,F,T
SE-00001347,PR-00000657,School hours care,Gaythorne Community Kindergarten,Gaythorne Community Kindergarten and Limited Hours Care Assoc Inc,34 Taurama Street   ,GAYTHORNE,QLD,4051,07 3355 4193,07 3355 1999,gcklhc@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,5/12/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/gaythorne,3.5 - 4.5 years,"""3.5 - 4.5 years: $25.00 per day + maintenance & working bee levy: $25.00 per term + resource & activity levy: $30.00 per term""",8:45am - 2:45pm,F,F,F,,,F
SE-40000718,PR-00000657,Limited hours care,Gaythorne Community Limited Hours Care,Gaythorne Community Kindergarten and Limited Hours Care Assoc Inc,34 Taurama Street   ,GAYTHORNE,QLD,4051,3355 6181,33551999,gcklhc@bigpond.com, This service is approved to provide education and care to children from 15 months up to and including over preschool age not including school children. This service is approved to operate up to 20 hours per week.,21,1/1/13,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/gaythorne,15 months - 5 years,"""15 months - 5 years: $21.00 - $33.00""",9:00am - 2:30pm,F,F,F,,,F
SE-00000511,PR-00000182,Child care,Hillbrook Creche,Hillbrook Foundation Pty Ltd,45 Hurdcotte Street  ,ENOGGERA,QLD,4051,07 3354 6424,3354 1057,hillbrook@hillbrook.qld.edu.au, This servcie is approved to provide education and care to children from birth up to and including school children.,25,4/4/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.hillbrook.qld.edu.au/our-community/hillbrook-creche/,6 weeks - 6 years,"""6 weeks - 6 years: $77.00""",8:00am - 4:00pm,F,F,F,,,F
SE-00002150,PR-00001014,"Child care, OSHC",Little Ducks Childcare Wilston,Little Ducks Childcare Wilston Pty Ltd,169 Newmarket Road  ,WILSTON,QLD,4051,07 3356 8100,07 3251 6001,wilston@littleducks.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/13/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,www.littleducks.com.au,6 weeks - 12 years,"""6 weeks - 30 months: $99.00, 30 months - 6 years: $91.00 + $80.00 enrolment fee""",6:30am - 6:00pm,F,F,F,,,T
SE-00000043,PR-00001217,Child care,Mother Duck Child Care and Pre School Centre,M Duckone Pty Ltd,36 Glenalva Terrace  ,ENOGGERA,QLD,4051,07 3356 4954,,enoggera@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,63,5/2/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.motherduck.com.au/our-centres/enoggera,6 weeks - 5 years,"""6 weeks - 12 months: $73.75, 13 - 24 months: $75.75, 25 - 35 months: $70.00, 3 - 5 years: $67.50""",6:00am - 6:00pm,F,F,F,,,F
SE-00000889,PR-00000462,OSHC,Newmarket Outside School Hours Care,Newmarket State School P & C Association,Newmarket State School  15 Banks Street,NEWMARKET,QLD,4051,07 3356 6741,07 3552 7200,oshc7@eq.edu.au, The maximum number of children able to be provided with care before and after school is 70 The maximum number of children able to be provided with care during school holidays is 50 This service approved to provide education and care to children from over preschool age including school children.,70,8/3/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://newmarkess.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $13.50, ASC: $15.50, VC: $37.00""","""BSC: 6:30 - 9:00am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000031,PR-00000400,Child care,Nurseryland Early Childhood Learning Centre - Alderley,Belbaker Pty Limited,26 Progress Parade  ,ALDERLEY,QLD,4051,07 3856 4486,07 3856 4325,grange@nurserylandchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of Regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). An approved alternative solution relating to Performance Criteria P16-Electrical Safety Precautions within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide education and care to children from birth up to and including school children.,105,4/14/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://nurserylandchildcare.com.au/,15 months - 6 years,,7:00am - 6:00pm,,,,,,T
SE-00000979,PR-00000702,OSHC,Our Lady Of The Assumption Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,9 Hurdcotte Street  ,ENOGGERA,QLD,4051,07 3354 2587,07 3354 2273,enoggeraoshc@bne.centacare.net.au, An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a pulication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,90,10/3/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.olaenoggera.qld.edu.au/about-us/Pages/OSHCare.aspx,5 - 12 years,"""BSC: $14.00, ASC: $19.00, VC: $40.00 - $45.00 + $35.00 enrolment fee per family""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea except during VC""",F,F,,,F
SE-00001753,PR-00000724,Child care,Pickering Street Early Education Centre,Pickering Street Early Education Centre Pty Ltd,191 Pickering Street  ,ENOGGERA,QLD,4051,07 3355 0120,3355 0044,pickeringst@earlyeducationcentres.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide eduation and care to children from birth up to and including over preschool age not including school children.,75,12/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.earlyeducationcentres.com.au/pickeringst/,6 weeks - 5 years,"""6 weeks - 2 years: $84.00, 2 - 3 years: $82.00, 3 - 5 years: $80.00""",6:15am - 6:15pm,T,T,F,,,F
SE-00000072,PR-00001226,Child care,Rising Stars Newmarket Early Learning Centre,La Forza Holdings Pty Ltd ATF the La Forza Holdings Unit Trust,18 Enoggera Road  ,NEWMARKET,QLD,4051,07 3352 6501,07 3352 3695,admin@risingstarsnewmarket.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care for children from birth up to and including school children.,75,5/9/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.risingstarselc.com/newmarket/,6 weeks - 5 years,"""6 weeks - 5 years: $85.00""",6:30am - 6:30pm,T,T,F,,,F
SE-00002174,PR-00000301,Child care,St Alban's Wilston Early Childhood Centre,The Corporation of the Synod of the Diocese of Brisbane,47 Lovedale Street  ,WILSTON,QLD,4051,07 3835 2215,33527617,stalbanswilstonecc@tpg.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,10/3/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://users.tpg.com.au/stawecc/,3 - 5 years,"""3 - 5 years: $74.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00001127,PR-00000702,OSHC,St Ambrose's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,52 Enoggera Road  ,NEWMARKET,QLD,4051,07 3352 5386,07 3356 0353,newmarketoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,70,7/1/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stambrosesschool.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $41.00""","""BSC: 7:00 - 8:45am, ASC: 2:50 - 6pm, VC: 7:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000981,PR-00000702,OSHC,St Columba's OSHCare,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Parish Hall - St Columba's  Kedronbrook Road,WILSTON,QLD,4051,07 3356 0106,07 3856 4717,wilstonoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,90,10/18/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.stcolumbaswilston.qld.edu.au/Our%20School/Pages/OSHC.aspx,5 - 12 years,"""BSC: $14.00, ASC: $18.00, VC: $40.00""","""BSC: 6:45 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000310,PR-00000693,Child care,Tiny Town Child Care Centre and Kindergarten,The Uniting Church in Australia Property Trust (Q.),92 Laurel Street  ,ENOGGERA,QLD,4051,07 3355 9465,07 3355 9766,tiny-town@bigpond.com, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to provide a rest period from 1:30pm to 2:00pm on Monday  to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,24,2/21/10,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://tinytown.com.au/,2.5 years - 5 years,"""2.5 - 5 years: $52.00""",8:15am - 4:15pm,F,F,F,,,F
SE-00001508,PR-00000320,School hours care,Wilston Grange Kindergarten and Pre School,Wilston Grange Kindergarten and Pre School Association Inc,Lanham Park  Sellheim Street,GRANGE,QLD,4051,07 3356 3050,07 3356 3050,wilstongrange@tpg.com.au, This service is approved to provide education and care to children from 36 months up to an including over preschool age not including school children.,25,8/12/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/wilstongrange,3.5 - 4.5 years,"""3.5 - 4.5 years: $650.00 per term + $22.00 ballot fee + $11.00 waitlist fee + $125.00 enrolment fee + $5.50 membership fee (per family) + $150.00 volunteer maintenance levy (refundable)""",8:30am - 2:40pm,F,F,F,,,F
SE-00001032,PR-00000680,OSHC,Wilston Outside School Hours Care,Wilston State School Parents & Citizens Association,Wilston State School  11 Primrose Street,GRANGE,QLD,4051,07 3352 6753,07 3552 8400,wilstonkidscare@optusnet.com.au, This service is approved to provide education and care to children from over preschool age including school children.,200,8/9/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://wilstonss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,4 - 13 years,"""BSC: $10.00 - $15.00, ASC: $15.00 - $19.00, VC: $35.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00000958,PR-00000533,OSHC,YMCA Enoggera State School Outside School Hours Care,The Young Men's Christian Association of Brisbane,Enoggera State School  Laurel Street,ENOGGERA,QLD,4051,07 3355 3870,,aen@ymca.org.au, The service is approved to provide education and care to children before and after school only. The maximum number of children able to be provided with education and care after school is 45 The maximum number of children able to be provided with education and care before school is 30 An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,45,3/6/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north-west/enoggera-oshc,5 - 12 years,"""BSC: $12.50, ASC: $17.50""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00000061,PR-00000716,Child care,Blackwood Street Child Centre,Mitchelton Community Preschool Association,117 Blackwood St  ,MITCHELTON,QLD,4053,07 3354 1244,07 3354 2107,director@blackwoodstreetchildcentre.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,90,4/15/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.blackwoodstreetchildcentre.com.au/,6 weeks -  5 years,"""6 weeks - 5 years: $75.00 + $22 waitlist fee + $55.00 consumables fee + $100 per semester working bee fee (refundable)""",7:00am - 6:00pm,T,F,F,,,F
SE-00000715,PR-40001112,"Child care, OSHC",Brookside Child Care and Preschool Centre,Affinity Education Group Limited,180 Osborne Road  ,MITCHELTON,QLD,4053,07 3355 5455,07 3355 5433,brooksidecentre@people.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/23/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 12 years,"""6 weeks - 15 months: $80.00, 15 months - 2 years: $78.00, 2 - 3 years: $75.00, 3 - 4 years: $74.00, 4 - 5 years: $73.00, 5 - 12 years BSC: $21.00, 5 - 12 years ASC: $24.00, 5 - 12 years VC: $55.00""",6:30 am to 6:30 pm,T,F,F,,,F
SE-00001258,PR-00008029,School hours care,C&K Arana Hills Kindergarten,The Creche and Kindergarten Association Limited,135 Olearia Street  ,EVERTON HILLS,QLD,4053,07 3355 9160,07 3355 9147,arana@candk.asn.au,,25,2/19/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/aranahills,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100 enrolment fee""",9:00am - 2:30pm,F,F,F,,,T
SE-00000056,PR-00000538,Child care,Chatterbox Child Development and Care Centre - McDowall,Eugenia Pty Ltd,51 Landis Street  ,MCDOWALL,QLD,4053,07 3353 3536,07 3353 4126,mcdowall@chatterboxchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide eduction and care to children from birth up to and including school children.,75,1/23/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.chatterboxchildcare.com.au/html/_findUs.html#mcdowall,6 weeks - 5 years,,7:00am - 6:00pm,T,T,F,,,F
SE-00001345,PR-00000121,School hours care,Emily Foord Memorial Kindergarten,Emily Foord Memorial Kindergarten Association Incorporated,26 Rhodes Street  ,STAFFORD,QLD,4053,07 3857 5508,07 3857 5707,emilyfoord@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,1/4/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.emilyfoordkindergarten.com.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $695.00 per term + $100 enrolment & membership fee + $180 centre support bond + $190 roster levies + $11.00 waitlist fee""",8:40am - 2:50pm,F,F,F,,,F
SE-00000209,PR-00001024,Child care,Everton Early Learning Centre,Gunnie Pty Ltd ATF Everton Hills Trust,987 South Pine Road  ,EVERTON HILLS,QLD,4053,07 3355 2700,07 3354 2262,mail@evertonearlylearning.com.au, This service is not required to comply with P7 to the extent it relates to the number of child size water closet suites and P9 to the extent it relates to the number of wash basins of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,64,11/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.evertonearlylearning.com.au/,6 weeks - 5 years,"""6 weeks - 30 months: $85.00, 30 months - 3 years: $82.00, 3 - 5 years: $80.00""",6:30am - 6:00pm,T,F,F,,,F
SE-00000044,PR-00000113,Child care,Everton Park Child Care and Development Centre,Scanlan Way Pty Ltd,25 Halle Street  ,EVERTON PARK,QLD,4053,07 3355 7844,07 3355 7844 ,evertonparkchildcare@hotmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,2/16/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://evertonparkchildcare.com.au/,15 months - 5 years,"""15 - 30 months: $80.00, 30 months - 3 years: $77.00, 3 - 5 years: $76.00""",6:30am - 6:30pm,T,F,F,,,F
SE-00001350,PR-00000130,School hours care,Everton Park Kindergarten,Everton Park Kindergarten Association Inc,28 Fallon Street  ,EVERTON PARK,QLD,4053,07 3355 3694,3355 1115,epkp@bigpond.net.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,4/17/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/evertonpark,3.5 - 4.5 years,"""3.5 - 4.5 years: $660.00 per term + $100.00 maintenance fee + $11.00 membership fee"" ",,,,,,,F
SE-00001554,PR-00001129,Child care,Goodstart Early Learning McDowall,Goodstart Early Learning Ltd,97 Flockton Street  ,MCDOWALL,QLD,4053,07 3353 6233,,mcd@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/mcdowall/overview,6 weeks -  5 years,"""6 weeks - 12 months: $86.70, 13 - 24 months: $84.60, 25 - 35 months: $77.90, 3 - 5 years: $77.90""",6:30am - 6:30pm,T,F,F,T,,F
