ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00000886,PR-00000702,OSHC,St Pius Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Pius School  Apperley Street,BANYO,QLD,4014,07 3267 7827,32671217,banyooshc@bne.centacare.net.au, An approved alternate solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,60,12/22/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,"""BSC: $10.00 - $13.00, ASC: $17.00 - $21.00""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:30pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001034,PR-00000533,OSHC,YMCA Virginia Outside School Hours Care,The Young Men's Christian Association of Brisbane,1678 Sandgate Road  ,VIRGINIA,QLD,4014,07 3266 3159,,avi@ymca.org.au, An alternate solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.  This service is approved to provide education and care to children from over preschool age including school children.,75,6/26/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north/virginia-oshc,5 - 12 years,"""BSC: $12.00, ASC: $17.50, VC: $43.00""","""BSC: 6:30 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000508,PR-40000353,Child care,Bracken Ridge Child Care Centre,Toosa Property Pty Ltd,174 Norris Road  ,BRACKEN RIDGE,QLD,4017,07 3261 3825,07 32613823,info@brackenridgechildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,86,11/20/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.brackenridgechildcare.com.au/,6 weeks - 5 years,"""6 weeks - 2 years: $77.00, 15 - 30 months: $74.00, 30 months - 3 years: $72.00, 3 - 5 years: $70.00""",6:15am - 6:15pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001286,PR-00000371,School hours care,Bracken Ridge Kindergarten (Lady Gowrie Affiliated),Bracken Ridge Kindergarten Association Inc,221 Barrett Street  ,BRACKEN RIDGE,QLD,4017,07 3269 8126,3269 8126,brkindy1@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,5/24/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,,3.5 years - 5 years,,,,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000791,PR-00000693,Child care,Bramble Bay Family Day Care,The Uniting Church in Australia Property Trust (Q.),Uniting Church Centre  116 Board Street,DEAGON,QLD,4017,07 3269 4383,3869 2075,bbfdc@pfcs.com.au,,0,4/3/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.bramblebayfamilydaycare.com.au/,6 weeks - 12 years,"""6 weeks - 12 years: $5.00 - $8.20 per hour""",,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000316,PR-00001129,"Child care, OSHC",Goodstart Early Learning Bracken Ridge,Goodstart Early Learning Ltd,290 Bracken Ridge Road  ,BRACKEN RIDGE,QLD,4017,07 3269 0066,07 3269 0205,bkr@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/bracken-ridge/overview,6 weeks - 12 years,"""6 weeks - 2 years: $81.30, 2 - 3 years: $77.10, 30 months - 5 years: $76.00, 5 - 12 years BSC: $15.80, 5 - 12 years ASC: 26.10, 5 - 12 years VC: $65.50""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001705,PR-00001129,Child care,Goodstart Early Learning Brighton - North Road,Goodstart Early Learning Ltd,74 North Road  ,BRIGHTON,QLD,4017,07 3269 4600,,noo@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/brighton-north-road/overview,6 weeks - 6 years,"""6 weeks - 24 months: $82.50, 25 -35 months: $75.90, 36 months - 6 years: $73.80""",6:30am - 6:30pm,F,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002117,PR-40000815,"Child care, OSHC",Guppy's Early Learning Centre - Deagon,Guppys ELC Pty Ltd ATF Parkross Family Trust,75 Braun Street  Deagon Market Square,DEAGON,QLD,4017,07 3269 0661,07 3269 0651,suzanne@guppys.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,4/21/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.guppys.com.au/,6 weeks -  12 years,"""6 weeks - 15 months: $77.00, 15 months - 2 years: $76.00, 2 - 3 years: $75.00, 3 - 4 years: $72.00, 4 - 5 years: $71.00, 5 - 12 years VC: $50.00""",6:30am - 6:30pm,T,F,F,,,T,,,,,,,,,,,,,,,,,,
SE-00000877,PR-00000250,OSHC,Jabiru Kids Bracken Ridge,Jabiru Community Youth & Children's Services Association Inc,Bracken Ridge State School  1 Denham Street,BRACKEN RIDGE,QLD,4017,07 3269 7852,07 3269 7852,brackenridge@jabiru.org.au, An approved alternative solution relating to performance criteria P18  Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,59,9/7/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/bracken-ridge/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001185,PR-00000250,OSHC,Jabiru Kids Brighton,Jabiru Community Youth & Children's Services Association Inc,Brighton State School  2 North Road,BRIGHTON,QLD,4017,07 3869 2422,07 3869 2422,brighton@jabiru.org.au, This service is approved to provide education and care to children from preschool age including school children.,59,9/25/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/brighton/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001021,PR-00000250,OSHC,Jabiru Kids Nashville,Jabiru Community Youth & Children's Services Association Inc,Nashville State School  Douglas Street,BRIGHTON,QLD,4017,07 3869 3925,07 3869 7368,nashville@jabiru.org.au, This service is approved to provide education and care to children from over preschool age including children.,45,11/20/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/nashville/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001087,PR-00000250,OSHC,Jabiru Kids Norris Road,Jabiru Community Youth & Children's Services Association Inc,Norris Road State School  Grenore Street,BRACKEN RIDGE,QLD,4017,07 3261 8987,07 3261 8987,norrisroad@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility withing SP5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,57,9/25/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/norris-road/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001019,PR-00000250,OSHC,Jabiru Kids Sandgate,Jabiru Community Youth & Children's Services Association Inc,Sandgate State School  54 Rainbow Street,SANDGATE,QLD,4017,07 3269 4086,07 3269 4086,sandgate@jabiru.org.au, This service is approved to provide education and care to children from over preschool age including school children.,59,9/25/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/sandgate/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001606,PR-00000702,OSHC,Joey's School Aged Care Service,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Josephs Catholic School  30 Eldorado Street,BRACKEN RIDGE,QLD,4017,3261 1599,,brackenridgeoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,130,6/29/09,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,5 - 12 years,"""BSC: $13.00, ASC: $16.00, VC:$38.00""","""BSC: 6:30 - 9am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002209,PR-00000813,Child care,Kids Capers Childcare Sandgate,Australian National Homes Pty Ltd ATF The Anh Trust,6-8 Flinders Parade  ,SANDGATE,QLD,4017,07 3269 1754,07 3869 1671,sandgate@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,61,9/1/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.caperschildcare.com.au/kidscapers/centre/details/id/7,6 weeks - 5 years,"""6 weeks - 12 months: $78.00, 1 year: $78.00, 2 years: $71.00, 3 years: $69.00, 4 years: $69.00""",6:30am - 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002098,PR-00000981,Child care,Kids On Craig Early Learning Centre,Dask Pty Ltd ATF The Knight Childcare Trust,8 Craig Street  ,BRIGHTON,QLD,4017,07 3869 4188,07 3869 4199,admin@kidsoncraig.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children form birth up to and including over preschool age not including school children.,49,6/22/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 5 years,"""6 weeks - 12 months: $74.00, 13 - 24 months: $71.00, 25 - 35 months: $70.00, 36 months - 5 years: $67.00""",6:15am - 6:15pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002239,PR-00006709,Child care,Mother Duck Child Care Bracken Ridge,MDBR123 Pty Ltd,96 Barrett Street  ,BRACKEN RIDGE,QLD,4017,07 3869 3126,07 3869 3128,brackenridge@motherduck.com.au, An approved alternative solution relating to Performance Criteria P7- Sluicing Facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,156,1/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.motherduck.com.au/our-centres/bracken-ridge,6 weeks - 5 years,,6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000081,PR-00000019,Child care,Nash Street Child Care Centre,Sandgate Brighton Child Care & Kindergarten Association Inc,106 Nash Street  ,SANDGATE,QLD,4017,07 3269 7895,3269 2300,nashstkids@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). Theis service is approved to provide education and care to children from birth up to and including school children.,54,5/13/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 6 years,"""6 weeks - 18 months: $75.00, 18 months - 3 years: $70.00, 3 - 6 years: $65.00""",6:30am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001951,PR-00000702,OSHC,Sacred Heart Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,92 Brighton Road  ,SANDGATE,QLD,4017,3269 9041,3269 9042,sandgateoshc@bne.centacare.net.au, The maximum number of children able to be provided with education and care after school is 70 The maximum number of children able to be provided with education and care before school is 40 The maximum number of children able to be provided with education and care during school holidays is 60 This service is approved to provide education and care to children from over preschool age includiing school children.,70,1/30/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.shssandgate.qld.edu.au/community/Pages/Outside-School-Hours-Care.aspx,4.5 - 12 years,"""BSC: $10.00, ASC: $15.00, VC: $36.00""","""BSC: 6:30 - 8:30am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000082,PR-00000019,Child care,Sandgate Child Care Centre,Sandgate Brighton Child Care & Kindergarten Association Inc,132 Brighton Road  ,SANDGATE,QLD,4017,07 3269 1937,3269 1937,sandgatekids@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,54,5/31/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 6 years,"""6 weeks - 12 months: $75.00, 13 - 35 months: $70.00, 36 months - 6 years: $65.00""",:,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001461,PR-00000019,School hours care,Sandgate Kindergarten,Sandgate Brighton Child Care & Kindergarten Association Inc,132 Brighton Road  ,SANDGATE,QLD,4017,07 3269 9537,,sandy.kids@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,3/2/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/sandgate,4 - 5 years,"""4 - 5 years: $615 per term + $60 enrolment fee + $15 fundraising levy""",8:25am - 2:35pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001099,PR-00000684,OSHC,Shorncliffe Outside School Hours Care,Shorncliffe State School  P&C Association,Shorncliffe State School  Yundah Street,SHORNCLIFFE,QLD,4017,07 3269 9000,32699000,tcroa4@eq.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,76,5/2/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://shorncliffess.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $17.00 - $18.00, ASC: $17.00 - $18.00, VC: $39.00 - $41.00""","""BSC: 7 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001952,PR-00000702,OSHC,St Kieran's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,15 Greenwood Street  ,BRIGHTON,QLD,4017,3269 0455,,brightonoshc@bne.centacare.net.au, This service is approved to provide education and care to school children.,60,1/30/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.stkieranbrighton.qld.edu.au/community/Pages/Outside-School-Hours.aspx,5 - 12 years,"""BSC: $19.00, ASC: $14.00, VC: $40.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:45am - 6:00pm""",F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000362,PR-00000626,Child care,The Brighton Child Care and Preschool Centre,The Brighton Child Care and Preschool Pty Ltd,10 Nathan Street  ,BRIGHTON,QLD,4017,07 3269 1242,3869 1042,info@brightchild.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,74,1/16/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.brightchild.com.au/,15 months - 5 years,,6:30 am to 6:00 pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001987,PR-00000903,Child care,Tiny Legends Child Care Centre Brighton,Tiny Legends Day Care Centres (Holdings)Pty Ltd ATF Tiny Legends Day Care Centres Unit Trust,34 Wickham Street  ,BRIGHTON,QLD,4017,07 3869 4600,07 3869 4611,director@tinylegends.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,10/24/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.tinylegends.com.au/,6 weeks - 6 years,"""6 weeks - 3 years: $77.00 - $80.00, 4 - 6 years: $69.00""",6:30am - 6:00pm,T,T,F,,,T,,,,,,,,,,,,,,,,,,
SE-00000536,PR-00000992,"Child care, OSHC",Whiz Kids Bracken Ridge,Whiz Kids Child Care Pty Ltd (ATF Searles Family Trust & Pruss Family Trust),198 Barbour Road   ,BRACKEN RIDGE,QLD,4017,07 3261 5466,07 3261 5236,brackenridge@whizkids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from birth up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,89,11/22/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.whizkids.net.au/BrackenRidge/brackenridge.html,15 months - 12 years,"""15 months - 3 years: $76.00, 3 - 5 years: $73.00, BSC: $18.00, ASC: $22.00, VC: $67.00""",6:30am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001027,PR-00000250,OSHC,Jabiru Kids Taigum,Jabiru Community Youth & Children's Services Association Inc,Taigum State School  266 Handford Road,TAIGUM,QLD,4018,07 3216 2405,07 3216 2405,taigum@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service.  This service approved to provide education and care to children from over preschool including school children.,79,9/25/09,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.jabiru.org.au/kids/about/taigum/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001397,PR-00000474,,Koobara Aboriginal & Islander Kindergarten,Koobara Aboriginal & Islander Family Resource Centre Inc,421 Beams Road  ,TAIGUM,QLD,4018,07 3265 7171,07 3865 8315,director@koobara.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,1/14/10,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/koobara,,,,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001861,PR-00000838,Child care,Tadpoles Early Learning Centres Taigum,Bhl Childcare Limited,215 Church Road  ,TAIGUM,QLD,4018,07 3865 2677,07 3865 2672,taigum@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,75,10/28/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.tadpoles.com.au/our-locations/tadpoles-taigum.html,6 weeks - 5 years,"""6 weeks - 24 months: $81.00, 24 - 35 months: $80.50, 36 months - 5 years: $77.50""",6:30am - 6:30pm,T,T,F,T,F,T,,,,,,,,,,,,,,,,,,
SE-00000728,PR-00000170,Child care,Taigum Child Edu-Care Centre ,DJS Estates Pty. Ltd.,400 Church Road  ,TAIGUM,QLD,4018,07 3865 7322,07 3865 7321,info@taigumchildeducare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,147,12/1/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,www.taigumchildeducare.com.au,6 weeks - 5 years,"""6 weeks - 24 months: $81.00, 25 - 35 months: $77.00, 36 months - 5 years: $75.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000507,PR-00001132,Child care,Taigum Kids Early Learning Centre ,Taigum Investments Pty Ltd as Trustee for The Taigum Investment Trust,263 Handford Road  ,ZILLMERE,QLD,4018,07 3865 8234,07 36321123,taigumkids2@optusnet.com.au, This service is approved to provide education and care to children from birth up to and including school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,145,6/16/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 5 years,"""6 weeks - 3 years: $81.00, 3 - 5 years: $77.00""",6:30am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
