ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001938,PR-00000866,Long Day Care,Little Friends On Forest Early Learning Centre,Forest Friends Pty Ltd,44 Victoria Street  ,FOREST HILL,QLD,4342,54 654 063,,anjkindy@hotmail.com, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 26 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,20,5/30/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 36 months to 5 years""",,6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00002065,PR-00000867,Long Day Care,Free Range Kids - Gatton,Common Joe Investments Pty Ltd,University Of Queensland  Warrego Highway,GATTON,QLD,4343,5460 1080,54601081,uqgchildcare@uq.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,8/16/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.freerangekids.com.au/gatton.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $68.00""",6.00am - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00000133,PR-00000357,Long Day Care,Gatton Child Care Centre,Lockyer Valley Regional Council,1 Dennis Minson Drive   ,GATTON,QLD,4343,07 5462 2946,5462 3269,rhardiman@lvrc.qld.gov.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,5/25/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 6 years""",,6.00am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00001354,PR-00000087,Long Day Care,Gatton Kindergarten,Gatton Kindergarten Association Inc,19 North Street  ,GATTON,QLD,4343,07 5462 1496,5462 1496,gattonkindy@bigpond.com,,44,11/24/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 3.5 years to 5.5 years""","""3.5 years - 5.5 years: $58.00""",7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000526,PR-00001129,"""Long Day Care, Out of Hours Care""",Goodstart Early Learning Gatton,Goodstart Early Learning Ltd,132 Railway Street  ,GATTON,QLD,4343,07 5462 4455,07 5462 4402,gat@goodstart.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,6/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/gatton/overview,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $72.10""",6.30am - 6.30pm,F,T,,,T,,,,,,,,,,,,,,,,
SE-00001680,PR-00000081,"""Long Day Care, Out of Hours Care""",Lockyer Valley Early Education Centre & Pre-School ,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,53 William Street  ,GATTON,QLD,4343,07 5462 3100,07 5462 3033,lockyervalley@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,117,3/30/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=10&name=Lockyer+Valley+1+%26+2+Early+Education+Centre+%26+Pre-school,"""ages 6 weeks to 14 years"" ","""6 weeks - 35 months: $72.00, 36 months - 5 years: $71.00, 6 years: $64.00, BSC: $18.00, ASC: $20.00""",6.00am - 6.00pm,T,,,,T,F,,,F,,,,,,,,,,,,
SE-00000992,PR-00000659,Out of Hours Care*,PCYC Ipswich - Gatton School Age Care,Queensland Police-Citizens Youth Welfare Association ,Gatton State School  William Street,GATTON,QLD,4343,07 5462 5267,07 5462 1605,gattonsac@pcyc.org.au,,45,9/27/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Ipswich-Gatton.aspx,"""ages 4 years to 16 years""","""BSC: $16.00, ASC: $18.00, VC: $40.00""","""6.30am - 8.30am, 3.00pm, 6.00pm, 6.30am - 6.00pm""",,,,,,F,,,T,,,,,,,,,,,,
SE-00001234,PR-00000697,Out of Hours Care*,Peace Lutheran Outside School Hours Care,Lutheran Church of Australia Queensland District,32 North Street  ,GATTON,QLD,4343,07 5462 0724,07 5462 4661,oshc@peacelps.qld.edu.au,,60,7/27/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.plc.qld.edu.au/about-peace/outside-school-hours-care,"""ages 4 years to 12 years""","""BSC: $13.00, ASC: $19.50, VC: $48.00""","""7.00am - 8.30am, 3.00pm - 6.00pm, 8.00am - 6.00pm""",T,,,,,F,,,T,,,,,,,,,,,,
SE-40001048,PR-00000354,Long Day Care,Kate's Place Early Education and Child Care Centre Helidon,Kate's Place Day Care Centre Pty Ltd,4 Plant St  ,HELIDON,QLD,4344,07 4697 7760,07 4697 7760,amanda@katesplace.com.au, It is a condition of the service approval that the nursery room can only cater for children from birth to 15 months.,68,7/16/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.katesplace.com.au/home/,"""ages 6 weeks to 4 years""",,6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00000660,PR-00000356,"""Long Day Care, Outside Hours Care""",A Country Garden Early Childhood Centre,Keutmann Investments Pty Ltd & Khasi Investments Pty Ltd,38 - 40 Drayton Road  ,TOOWOOMBA,QLD,4350,07 4635 5448,07 4635 5488,mark@acountrygarden.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,7/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.acountrygarden.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $70.00""",6.30am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001682,PR-00000356,"""Long Day Care, Outside Hours Care""",A Country Garden Early Childhood Centre - Jacaranda House,Keutmann Investments Pty Ltd & Khasi Investments Pty Ltd,52 Drayton Road  ,TOOWOOMBA,QLD,4350,07 4635 0818,07 4635 0888,lisa@acountrygarden.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,3/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.acountrygarden.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $70.00""",6.30am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001655,PR-40000093,Long Day Care,Active Pathways Early Childhood Centre,Mary Anne Hall ATF Hall Family Trust,10 Gunn Street  ,TOOWOOMBA,QLD,4350,4636 2422,4639 4064,gunnst.olivetree@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,40,10/7/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.activepathwaysecc.com.au/home/,"""ages 12 months to 5 years""",,6.30am - 6.30pm,T,,,,,,,,,,,,,,,,,,,,
SE-40000433,PR-00001104,Out of Hours Care*,Bunkers Hill Outside School Hours Care,Renejere Pty Ltd as Trustee for Westbrook Child Care Centre Trust,Bunker's Hill State School  315 Bunkers Hill School Rd,WESTBROOK,QLD,4350,0425 231 414,746306991,bunkershilloshc@gmail.com,,30,4/25/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002372,PR-00008029,Short Day Care,C&K Fairview Heights Community Kindergarten,The Creche and Kindergarten Association Limited,19 Hargrave Street  ,TOOWOOMBA,QLD,4350,07 4633 1200,07 3356 7976,fairviewheights@candk.asn.au,,24,2/1/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/fairviewheights,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-00014019,PR-00008029,Short Day Care,C&K Gabbinbar Community Kindergaten,The Creche and Kindergarten Association Limited,203 Stenner Street   ,TOOWOOMBA,QLD,4350,07 4613 6205,07 4613 6209,gabbinbar@candk.asn.au,,24,7/21/16,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/gabbinbar,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-40000937,PR-00006557,Outside Hours Care,Camp Australia - Drayton State School OSHC,The Camp Australia Foundation Ltd,Drayton State School  47-59 Brisbane St,DRAYTON,QLD,4350,404802746,,qlddrayton@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children. This service is approved to provide education and care for before school after school and during school holidays.,50,7/9/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDDraytonStateSchool/BBAA,"""ages 4 years to 12 years""","""BSC: $12.00, ASC: $16.00""","""6.30am - 9.00am, 3.00pm - 6.00pm""",,,,,,F,,,T,,,,,,,,,,,,
SE-00002378,PR-00002539,Outside Hours Care,Camp Australia - Middle Ridge State School OSHC,Camp Australia Pty Limited,Middle Ridge State School  203 Spring Street,Toowoomba,QLD,4350,412582934,07 53026485,qldmidridge@oshccampaustralia.com.au,,100,7/28/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDMiddleRidge/4B9E,"""ages 4 years to 12 years""","""BSC: $13.27, ASC: $19.16""","""6.00am - 8.30am, 3.00pm - 6.00pm""",,,,,,F,,,T,,,,,,,,,,,,
SE-00001637,PR-00002539,Outside Hours Care,Camp Australia - Toowoomba Grammar School OSHC,Camp Australia Pty Limited,24 Margaret Street  ,TOOWOOMBA,QLD,4350,0421 570 461,,rosa@campaustralia.com.au, An approved alternate solution relating to Performance Critieria P18 within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. The service must ensure that persons with a disability are able to access the service from  the Herries Street entrance using the ramp from the road to the footpath leading to the school.,30,7/28/15,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.campaustralia.com.au/Service/QLDToowoombaGrammarSchool/07F2,"""ages 4 years to 16 years""","""ASC: $21.71""",3.15pm - 6.00pm,F,,,,,F,,,T,,,,,,,,,,,,
SE-00002078,PR-40000799,Long Day Care,Charley's Place Toowoomba City Pty Ltd,Charley's Place Toowoomba City Pty Ltd,663-667 Ruthven Street  ,TOOWOOMBA,QLD,4350,07 4638 2485,4636 6297,js.hewett73@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). An approved alternative solution relating to the Performance Criteria P5 within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service.  The vegetation must be maintained in the enclosed outdoor play area to ensure children continue to have access to a natural feature.  Artificial grass sand and waterplay opportunities must be provided in the enclosed outdoor play area.,75,1/22/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 6 weeks to 6 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000653,PR-00000176,Long Day Care,Cherubs Child Care Centre,Cherubs Pty Ltd,42 Raff Street  ,TOOWOOMBA,QLD,4350,07 4632 0575,46320576,cherubs@iinet.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,2/7/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.cherubschildcare.com.au/,"""ages 6 weeks to 4 years""","""6 weeks - 24 months: $75.00, 25 months - 35 months: $72.50, 36 months - 4 years: $70.50""",6.30am - 6.00pm,T,T,,,,F,,,T,,,,,,,,,,,,
SE-00000371,PR-00000411,Long Day Care,Children's Educare,Children's Educare Centre Pty Ltd,6 Margaret Street  ,TOOWOOMBA,QLD,4350,07 4639 4577,4638 0577,gmseducare@bigpond.com, This service is approved to provide education and care to children from children from 15 months up to and including school children The service is approved to continue using an educator staff ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age of regulation 123(1)(a) until 31 December 2017.,40,3/20/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.educarecec.com.au/,"""ages 24 months to 4 years""","""24 months - 4 years: $75.00""",7.30am - 6.00pm,T,,,,,F,,,F,,,,,,,,,,,,
SE-00001322,PR-00000031,Short Day Care,Chiselhurst Kindergarten Association Inc,Chiselhurst Kindergarten Asociation Inc,12 Stonehaven Street  ,TOOWOOMBA,QLD,4350,07 4632 2044,46322044,admin@chiselhurst.com.au,,50,6/6/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://chiselhurst.com.au/,"""ages 4 years""","""4 years: $31.80""",8.40am - 2.50pm,F,,,,,T,$30.00,,F,,,,,,,,,,,,
SE-00001984,PR-00000783,Short Day Care,Christian Outreach College Toowoomba,Christian Outreach Centre,505 Hume Street  ,TOOWOOMBA,QLD,4350,746176555,746176557,vickid@coct.qld.edu.au, Rooms 1 &amp; 2  of the service are approved to provide education and care to children from 36 months including over preschool age not including school children (e.g. for kindergartens).  Room 3 of This service is approved to provide education and care to school children after school and during school holidays. At all times that education and care is being provided under this service approval there must not be less than 3.25m2 of indoor play space and 7m2 of outdoor play space per child attending the premise in Room 1 with the total number of children not to exceed 74 including the children being educated and cared for under this service approval and any other children using the premise.,74,8/7/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.coct.qld.edu.au/curriculum/early-years-pre-kindergarten-kindergarten.html,"""ages 36 months to 4 years""","""36 months - 4 years: $1118.00 per term*""",,,,,,,F,,,T,,,,,,,,,,,,
SE-00001537,PR-00000697,Long Day Care,Concordia Lutheran Kindergarten,Lutheran Church of Australia Queensland District,67- 69 Warwick Street  ,TOOWOOMBA,QLD,4350,07 4613 6392,07 3511 4051,concordia.kgt@qlecs.org.au,,50,7/9/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.qlecs.org.au/index.php?ref=MTk1MA,"""ages 36 months to 4 years""","""36 months - 4 years: $62.00""",8.00am - 5.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001056,PR-00000683,Outside Hours Care*,Darling Heights Outside School Hours Care,Darling Heights State School Parents and Citizens Association,Wuth Street  ,TOOWOOMBA,QLD,4350,46368342,,dhoshc@gmail.com,,60,11/4/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://darlheigss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 4 years to 12 years""","""ASC: $22.00, VC: $49.00""","""6.30am - 8.45am, 3.00pm, 6.00pm, 7.00am - 6.00pm""",,,,,,F,,,F,,,,,,,,,,,,
SE-00002289,PR-00001139,Long Day Care,Eastwood Early Education,Eastwood Early Education Pty Ltd,21A-23 Herries Street  ,TOOWOOMBA,QLD,4350,4638 1150,,enquiries@eastwoodearlyeducation.com.au , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/31/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.eastwoodearlyeducation.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $83.00, 25 months - 4 years: $80.00""",6.00am - 6.00pm,T,T,,,,F,,,F,,,,,,,,,,,,
SE-00001179,PR-00000169,Out of Hours Care*,Fairholme College Outside School Hours Care,Fairholme College (Toowoomba) Pty Ltd,40 Wirra Wirra Street  ,TOOWOOMBA,QLD,4350,07 4688 4688,07 4688 4690,helen.rasmussen@fairholme.qld.edu.au,,45,6/18/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.fairholme.qld.edu.au/learn/junior-school/outside-school-hours-care.html,"""ages 4 years to 16 years""","""BSC: $8.00 per half hour, ASC: $8.00 per half hour*""","""7.30am - 8.30am, 2.45pm - 6.00pm, 8.00am - 5.30pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001620,PR-00000169,Short Day Care,Fairholme Kindergarten,Fairholme College (Toowoomba) Pty Ltd,40 Wirra Wirra Street  ,TOOWOOMBA,QLD,4350,4688 4688,4688 4694,junior@fairholme.qld.edu.au,,40,1/29/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.fairholme.qld.edu.au/learn/fairholme-kindy.html,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $43.00""",8.40am - 2.45pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-40000684,PR-40000597,Long Day Care,FKG Building Blocks Early Learning Centre,Rosedare Investments Pty Ltd,275 McDougall St  ,TOOWOOMBA,QLD,4350,746200500,746200555,grants@fkg.com.au, This service is approved to provide education and care to children from birth to over preschool age not including school children.,18,6/8/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.fkg.com.au/Home/FKG-Leads-the-Way-with-Childcare-Centre.aspx,,,7.30 am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000892,PR-00000296,Outside Hours Care*,Gabbinbar Outside School Hours Care,Gabbinbar State School P & C Association,Gabbinbar State School  189 Stenner Street,TOOWOOMBA,QLD,4350,07 4631 5266,0746 315 200,dquin45@eq.edu.au,,100,11/24/15,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://gabbinbarss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: $14.00, ASC: $18.00, VC: $40.00""","""7.00am - 9.00am, 3.00pm - 6.00pm, 8.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00000564,PR-00000854,Long Day Care,Glenvale  World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,615 Greenwattle Street  ,TOOWOOMBA,QLD,4350,4634 1868,4634 1870,glenvale@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,7/31/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.worldoflearning.com.au/centres/childcare-toowoomba/,"""ages 15 months to 6 years""","""15 months - 24 months: $78.50, 25 months - 35 months: $77.50, 36 months - 6 years: $76.50""",6.30am - 6.30pm,,,,,,F,,,T,,,,,,,,,,,,
SE-40000762,PR-00006710,Short Day Care,Glenvale Christian School Kindergarten,Toowoomba Christian Parent Controlled Day School Association Inc,623-661 Boundary St  ,TOOWOOMBA,QLD,4350,46340113,46340114,admin@gcs.qld.edu.au, The service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,4/25/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.gcs.qld.edu.au/?id=44,"""ages 36 months to 4 years""","""36 months - 4 years: $27.65""",9.00am - 3.15pm,F,,,,,F,,,T,,,,,,,,,,,,
SE-00001048,PR-00000099,Outside Hours Care*,Glenvale State School Outside School Hours Care,Glenvale State School Parents & Citizens Association,Glenvale State School  224 Glenvale Road,TOOWOOMBA,QLD,4350,0408 717 616,07 4634 7414,goshc@glenvaless.eq.edu.au, The service is approved to provide education and care to 55 children after school. The service is approved to provide education and care to 50 children before school. The service is approved to provide education and care to 75 children during school holidays. An approved alternate solution relating to Performance Critieria P18 within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 23 November 2005) applies to this service. The service must ensure that persons with a disability are able to move between the buildings and outdoor areas using the ramped areas of the school.,90,9/30/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://glenvaless.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 4 years to 12 years""","""BSC: $10.50, ASC: $18.00, VC: $40""","""7.00am - 8.45am, 3.00pm - 6.00pm, 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
