ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment
SE-00002131,PR-40000786,"Long Day Care, Out of Hours Care",Little Genesis Early Learning Centre,Genesis Christian College Ltd,8 Youngs Crossing Road ,BRAY PARK,QLD,4500,3882 9032,3882 9034,a.west@genesis.qld.edu.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,7/18/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.genesis.qld.edu.au/our-college/little-genesis/childcare,"""ages 6 weeks to 5 years""",,"""LDC: 6.30am - 6.00pm, BSC: 6.30am - 8.30am, ASC: 2.45pm - 6.00pm""",F,,,,,T,F,,T
SE-00000300,PR-00001034,Long Day Care,Mother Duck Child Care and Pre School Centre (Strathpine),Almitch Pty Ltd,61 Bells Pocket Road ,STRATHPINE,QLD,4500,07 3881 3000,3205 7092,strathpine@motherduck.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 109 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,103,10/27/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.motherduck.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.00pm,T,T,,,,,,,
SE-00000374,PR-00000740,Long Day Care,Mother Duck Child Care and Pre School Centre No 1 (Lawnton),Tikitrio Pty Ltd,Cnr Todds Rd and Station Rd ,LAWNTON,QLD,4500,07 3285 6595,,lawnton@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,134,1/4/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.motherduck.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.00pm,T,T,,,,,,,
SE-40000610,PR-00000659,Out of Hours Care*,PCYC Pine Rivers School Age Care,Queensland Police-Citizens Youth Welfare Association,Baker St  (Off Frances Road),BRAY PARK,QLD,4500,3205 3367,3205 6469,pine.rivers@pcyc.org.au, The service is to provide education and care to children during school holidays only,75,11/29/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Pine-Rivers-Petrie.aspx,"""ages 5 years - 12 years""","""BSC: $15.50, ASC: $20.50, VC: $50.00""","""BSC: 6.00am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",T,,,,,T,F,,F
SE-00001466,PR-00000094,Short Day Care,South Pine Community Kindergarten and Preschool.,South Pine Community Kindergarten & Preschool Assoc Inc,200 Stanley Street ,STRATHPINE,QLD,4500,07 3881 1183,3881 0664,spck@westnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,2/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.southpinekindy.com.au/,,,,,,,,,,,,
SE-00001479,PR-00000238,Short Day Care,Strathpine Community Kindergarten and Preschool Association Inc.,Strathpine Community Kindergarten and Pre School Association Inc,9-11 Brennan Parade ,STRATHPINE,QLD,4500,732051447,732051058,admin@strathpinekindy.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,4/20/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/strathpine,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.50""",8.45am - 2.45pm,F,,,,,T,$20,F,F
SE-00002030,PR-00000922,Long Day Care,Strathpine Trainease Station Child Care Centre,Dando Investments Pty Ltd,356 Gympie Road ,STRATHPINE,QLD,4500,07 3889 7420,3889 7481,traineas@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,75,6/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.trainease.com.au/,"""ages 6 weeks to 4 years""","""6 weeks - 35 months: $77.00, 36 months - 4 years: $70.00""",,T,,,,,F,,,T
SE-00001907,PR-00000838,Long Day Care,Tadpoles Early Learning Centre Cashmere 1,Bhl Childcare Limited,2 Sarow Drive ,CASHMERE,QLD,4500,3882 6803,3882 6805,cashmere@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,119,5/16/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.tadpoles.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $78.50, 25 months - 35 months: $77.50, 36 months - 5 years: $75.50""",6.30am - 6.30pm,T,,,,,,,,
SE-00001106,PR-00000533,Outside Hours Care*,YMCA Bray Park Outside School Hours Care,The Young Men's Christian Association of Brisbane,Bray Park State School  Hopetoun Street,BRAY PARK,QLD,4500,07 3205 4639,,brayparkcoolclub@bigpond.com, This service is approved to privde education and care to children from over preschool age including school children.,75,10/2/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://brayparkss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: $12.00""","""BSC: 6.30am - 9.00am, ASC2.45pm - 6.00pm, VC: 6.30am - 6.00pm",T,,,,,,,,
SE-40000760,PR-00000533,Outside Hours Care*,YMCA Camp Warrawee Vacation care,The Young Men's Christian Association of Brisbane,81 Byrnes Rd North ,JOYNER,QLD,4500,38821436,,campwar@ymca.org.au, The service is to provide education and care to children during school holidays only,200,10/23/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.campwarrawee.com/,,,,,,,,,,,,
SE-00000214,PR-00000533,Outside Hours Care*,YMCA Strathpine Early Education Centre,The Young Men's Christian Association of Brisbane,27 Dixon St ,STRATHPINE,QLD,4500,07 3205 7333,3205 7600,strathcc@ymca.org.au; chantal.wise@ymca.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,6/4/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.ymcachildcare.com.au/edc-strathpine-home,"""ages 6 weeks to 5 years""",,6.30m - 6.30pm,,,,,,,,,
SE-00001219,PR-00000533,Outside Hours Care*,YMCA Strathpine Outside School Hours Care,The Young Men's Christian Association of Brisbane,Don Court ,STRATHPINE,QLD,4500,07 3881 3466,,ast@ymca.org.au, The maximum number of children able to be provided with education and care after school is 45  The maximum number of children able to be provided with education and care before school is 40  The maximum number of children able to be provided with education and care during school holidays is 45  An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,45,8/4/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.ymcachildcare.com.au/ymca-ohsc-services/brisbane-north/strathpine-oshc,,,,,,,,,,,,
SE-00001404,PR-00000368,Short Day Care,Lawnton Kindergarten and Pre School,Lawnton Kindergarten and Preschool Association Inc,Cnr Todds Rd & Nightingale Dr  ,LAWNTON,QLD,4501,07 3285 2685,3285 1287,admin@lawntonkindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,5/3/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.lawntonkindy.com.au/,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $25.00""",9.00am - 3.00pm,F,,,,,,,,
SE-40001861,PR-00002658,Out of Hours Care*,Lawnton State School OSHClub,The Partnership of Quality Recreational Service Pty Ltd ATF Bruce Family Trust and Telepress Pty Ltd ATF Telepress Discretionary Trust,Todd Road  ,Lawnton,QLD,4501,478012448,,shea@oshclub.com.au,,45,3/8/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://www.oshclub.com.au/oshclub.html,"""ages 5 years to 12 years""","""BSC: $17.00, ASC: $22.00, VC: $50.00""","""BSC: 6.30am - 8.30am, ASC: 3.15pm - 6.00pm, VC: 7.00am - 6.30pm""",T,,,,,F,,,T
SE-00000827,PR-00000564,Family Day Care,Pine Rivers Family Day Care Scheme,Moreton Bay Regional Council,1 Galvin Street  ,LAWNTON,QLD,4501,07 3285 5188,3889 1719,pine.fdc@moretonbay.qld.gov.au,,0,6/11/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,F,,,,,,,,
SE-00000535,PR-00000359,Long Day Care,Pine Rivers Learning and Development Centre,Syntec Pty. Ltd.,Cnr Todds Rd & Colleen Street  ,LAWNTON,QLD,4501,07 3285 7835,,prldc@ecn.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,6/25/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://pineriverslearning.com.au/,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $70.00, 25 months - 35 months: $67.00, 36 months - 6 years: $66.00""",6.00am - 6.00pm,T,T,,,,F,,,T
SE-00000415,PR-00001129,Long Day Care,Goodstart Early Learning Petrie,Goodstart Early Learning Ltd,77 Beeville Road  ,PETRIE,QLD,4502,07 3285 7335,,pet@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/petrie/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: 83.20, 25 months - 5 years: $74.40""",6.30am - 6.00pm,T,T,,,,,,,
SE-00001227,PR-00000768,Out of Hours Care*,Kids' Place Kurwongbah,Kurwongbah Primary P&C Asssociation,Kurwongbah State School  Eacham Street,PETRIE,QLD,4502,07 3285 2801,07 3889 2496,kurwoshc@bigpond.net.au, The maximum number of children able to be provided with education and care after school is 90 The maximum number of children able to be provided with education and care before school is 60 The maximum number of children able to be provided with education and care during school holidays is 90 This service is approved to provide education and care to children from over preschool age including school children.,90,3/30/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://kidsplacekurwongbah.com/,"""ages 6 years to 12 years""","""BSC: $17.00, ASC: $22.00, VC: $43.00""",,,,,,,,,,
SE-00000212,PR-00000697,Long Day Care,Living Faith Early Learning Centre,Lutheran Church of Australia Queensland District,9A Armstrong Street  ,PETRIE,QLD,4502,07 3285 4033,3285 4399,lfelc_adsl@hotkey.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,6/19/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.lfelc.org.au/,"""ages  6 weeks to 6 years""","""6 weeks - 24 months: $72.50, 25 months - 4 years: $70.50""",6.30am - 6.00pm,T,T,,,,F,,,T
SE-00000464,PR-00001188,Long Day Care,Mother Duck Childcare & Preschool Centre Petrie,Ducklings Pty Ltd,16 Reid Street  ,PETRIE,QLD,4502,07 3285 7088,07 3285 5104,petrie@motherduck.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,11/12/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.motherduck.com.au/our-centres/petrie,"""ages 13 months to 6 years""","""13 months - 6 years: $72.75""",6.00am - 6.00pm,,,,,,,,,
SE-40000278,PR-00000659,Out of Hours Care*,PCYC Pine Rivers - Petrie School Age Care,Queensland Police-Citizens Youth Welfare Association ,Petrie State School  42 Dayboro Rd,PETRIE,QLD,4502,07 3205 3367,07 3205 6469,petriesac@pcyc.org.au,,60,1/30/17,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Pine-Rivers-Petrie.aspx,"""ages 5 years to 12 years""","""BSC: $15.50, ASC: $20.50, VC: 50.00""","""BSC: 6.00am - 8.50am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,
SE-00000941,PR-00000702,Out of Hours Care,Petrie Community After School Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Our Lady Of The Way School  38 Armstrong Street,PETRIE,QLD,4502,07 3285 1850,07 3285 4205,petrieoshc@bne.centacare.net.au, The maximum number of children able to be provided with education and care after school is 90  The maximum number of children able to be provided with education and care before school is 60  The maximum number of children able to be provided with education and care during school holidays is 90  An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,90,7/21/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 years to 12 years""","""ASC: $18.00""",3.00pm - 6.00pm,T,,,,,,,,
SE-00000213,PR-00000861,Short Day Care,Petrie Kids Korner,Mrs Lynette Wong ,Lot 1 Beeville Road  ,PETRIE,QLD,4502,07 3285 3589,,pkk07@optusnet.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 24 months up to and including school children.,64,9/6/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://petriekidskorner.com/,"""ages 2 years to 4 years""","""24 months - 35 months: $52.00, 36 months - 4 years: $51.00""",9.00am - 3.00pm,F,,,,,,,,
SE-00002149,PR-00001015,Out of Hours Care*,Fundurba Kids Club,Undurba State School P&C Association,Ogg Road  ,MURRUMBA DOWNS,QLD,4503,3480 9129,3480 9100,mel@fundurba.com.au, The maximum number of children able to be provided with education and care after school is 120  The maximum number of children able to be provided with education and care before school is 90  The maximum number of children able to be provided with education and care during school holidays is 90  An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,10/22/15,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,"""ages 5 years to 13 years""","""BSC: $13.50, ASC: $18.50, VC: $45.00""","BSC: 6.30am - 9.00am, ASC: 3.00pm - 6.30pm""",,,,,,,,,
SE-00000740,PR-00001129,Long Day Care,Goodstart Early Learning Dakabin,Goodstart Early Learning Ltd,64 Sheaves Road  ,KALLANGUR,QLD,4503,07 3886 0555,3886 0455,dak@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,51,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/dakabin/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $82.10, 25 months - 35 months: $74.90, 36 months - 5 years: $71.80""",6.30am - 6.30pm,T,T,,,,,,,
SE-00000367,PR-00001129,Long Day Care,Goodstart Early Learning Kallangur - Duffield Road East 1,Goodstart Early Learning Ltd,52 Duffield Road  ,KALLANGUR,QLD,4503,07 3886 0716,,kal@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 101 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,91,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/kallangur-duffield-road-east/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $82.10, 25 months - 35 months: $74.90, 36 months - 5 years: $71.80""",7.00am - 6.00pm,T,T,,,,,,,
SE-00013935,PR-00001129,Long Day Care,Goodstart Early Learning Kallangur - Duffield Road West,Goodstart Early Learning Ltd,52A Duffield Rd  ,KALLANGUR,QLD,4503,3886 0033,,kaw@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,71,1/2/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/kallangur-duffield-road-west/overview,"""ages 6 weeks to 6 years""","""6 weeks - 12 month: $83.60, 13 months - 24 months: $82.00, 25 months - 35 months: $76.40, 36 months - 6 years: $76.40""",6.30am - 6.00pm,T,T,,,,,,,
SE-00001644,PR-00001129,Long Day Care,Goodstart Early Learning Murrumba Downs ,Goodstart Early Learning Ltd,204 Goodfellows Road  ,MURRUMBA DOWNS,QLD,4503,3204 6644,,hcp@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/murrumba-downs/overview,"""ages 6 weeks to 5 years""","""6 weks - 24 months: $86.40, 25 months - 6 years: $79.20""",6.00am - 6.00pm,T,T,,,,,,,
SE-00001120,PR-00000250,Out of Hours Care*,Jabiru Kids Dakabin,Jabiru Community Youth & Children's Services Association Inc,Dakabin State School  Sheaves Road,KALLANGUR,QLD,4503,3482 2548,1300 238 861 (Head office),dakabin@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,65,1/26/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.jabiru.org.au/kids/about/dakabin/,"""ages 5 years to 12 years""","""BSC: $12.00, ASC: 18.00, VC: $45.90""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.30am - 6.00pm""",T,,,,,F,,,T
SE-00001757,PR-40000066,Long Day Care,Kallangur Child Care,Lakota (Queensland) Pty Ltd,88 Brickworks Road  ,KALLANGUR,QLD,4503,3204 4800,,info@kallangurchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kallangurchildcare.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $75.00 - $78.00""",6.30am - 6.30pm,,,,,,,,,
SE-00000211,PR-00000703,Long Day Care,Kallangur Community Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,116 Ann Street  ,KALLANGUR,QLD,4503,07 3204 6000,3886 4733,kallangurcecc@cofcqld.com.au cassandra.dinte@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,8/30/14,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,,,,6.45am - 6.15pm,,,,,,,,,
SE-00001050,PR-00000578,Outside Hours Care*,Klub Kallangur Outside School Hours Care Centre,Kallangur State School P&C Association,139 School Road  ,KALLANGUR,QLD,4503,07 3886 2144,3886 1524,klubkall@bigpond.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from preschool age including school children.,136,4/19/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""BSC: $15.50, ASC: $20.50, VC: $45.00""",,,,,,,,,,
SE-00001927,PR-00000967,Long Day Care,Little Legends Early Learning Centre,Kidzspace Pty Ltd ATF Kidzspace Management Unit Trust,Shop 2/90 Whitehorse Road  ,DAKABIN,QLD,4503,3491 3288,3491 3299,admin@littlelegends.com.au;director@littlelegends.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children,59,7/30/13,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.littlelegends.com.au/,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $73.50 - $78.50""",6.00am - 6.00pm,,,,,,F,,,T
