ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000048,PR-00000873,Child care,Holland Park Creche and Family Centre,Jadcare Pty Ltd,21 Eric Road  ,HOLLAND PARK,QLD,4121,07 3349 5205,07 3349 6646,hpcreche@ecn.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,2/6/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.hollandparkcreche.com.au/,15 months - 5 years,"""15 months - 2 years: $88.00, 2 - 3 years: $84.00, 3 - 4 years: $83.00, 4 - 5 years: $79.00""",7:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00001375,PR-00000235,School hours care,Holland Park Kindergarten,Holland Park Kindergarten Association Inc,882 Logan Road  ,HOLLAND PARK,QLD,4121,07 3397 4020,07 3397 4020,hpk@hollandparkkindy.com,,25,6/27/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.hollandparkkindy.com/,3.5 - 4.5 years,"""3.5 - 4.5 years: $27.00 - $33.75 + $250.00 maintenance levy + $50.00 resource levy + $5.50 membership fee""",8:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000574,PR-00000754,Child care,Holland Park West World Of Learning,Ramsay Bourne Acquisitions (No.1) Pty Limited,86 Marshall Road   ,HOLLAND PARK,QLD,4121,07 3397 1400,07 3324 1060,hollandpark@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,7/3/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.worldoflearning.com.au/centres/holland-park-west-world-of-learning/,6 weeks - 6 years,"""6 weeks - 15 months: $95.00, 15 months - 2 years: $90.00, 2 - 3 years: $87.00, 3 - 6 years: $86.00""",6:00am - 6:00pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00000092,PR-00001057,"Child care, OSHC",Lead Childcare - Tarragindi,Leading Child Care Pty Ltd,43 Pope Street  ,TARRAGINDI,QLD,4121,07 3848 6938,,tarragindi@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from birth up to and including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,8/19/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.leadchildcare.com.au/~lead/about-my-nearest-centre/tarragindi/,15 months - 12 years,"""15 months - 4 years: $79.00, 4 - 5 years: $75.00, 5 - 12 years BSC: $23.00, 5 - 12 years ASC: $30.00, 5 - 12 years VC: $58.00""",6:30am - 6:30pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00000914,PR-00000318,OSHC,Marshall Road State School P & C Association Outside School Hours Care,Marshall Road State School P & C Association,Marshall Road State School - Kidszone  Kurts Street,HOLLAND PARK,QLD,4121,07 3349 0699,07 3341 0699,kidszone@bigpond.com.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 - Child Care Centres Development Code (with a publication date of 16 November 2007) applies to this service.,120,12/11/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://marsroadss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $10.00 - $12.00, ASC: $16.00 - $18.00, VC: $37.00 - $42.00""","""BSC: 7:00 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001426,PR-00000234,School hours care,Mott Park Kindergarten,Mott Park Kindergarten Association Inc,880 Logan Road  ,HOLLAND PARK,QLD,4121,07 3397 9119,07 3397 9119,admin@mottparkkindy.org.au,,25,6/10/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.mottparkkindy.org.au/,3.5 - 4.5 years,,8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001083,PR-00000659,OSHC,PCYC Mt Gravatt - Holland Park SAC,Queensland Police-Citizens Youth Welfare Association ,59 Abbotsleigh Street  ,HOLLAND PARK,QLD,4121,07 3421 6264,07 3397 7250,hollandparksac@pcyc.org.au,,133,4/14/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Mt-Gravatt-Holland-Park.aspx,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $38.00 + $20.00 membership fee""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001961,PR-00000889,Child care,Prior Street Child Care and Development,Dart Briggs Investments Pty Ltd ATF The Dart Family Trust No 2,14 Prior Street  ,TARRAGINDI,QLD,4121,07 3892 5688,,psccd@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternate solution relating to Performance Criteria P4 Sleeping Facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service.  It is a condition of the service approval that: A narrow cot measuring 685mm wide will be situated near the door within the cot room to enable ease of access to the cot in an emergency evacuation. There is no conflict with any Fire Authority standards. This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019  (subject to the provisions of Regulation 310 (1)).,75,1/22/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.psccd.com.au/,6 weeks - 5 years,"""6 weeks - 12 months: $90.00, 13 - 24 months: $87.00, 25 - 35 months: $82.00, 36 months - 5 years: $77.00 + $10.00 waitlist fee + $50.00 acceptance fee""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000967,PR-00000702,OSHC,St Elizabeth's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,55 Effingham Street  ,EKIBIN,QLD,4121,07 3255 9468,07 3848 5336,ekibinoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service,60,10/6/10,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.stelizabeths.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $13.00, ASC: $16.00, VC: $36.00""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm, VC: 8:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001103,PR-00000702,OSHC,St Joachim's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,43 Yuletide Street  ,HOLLAND PARK,QLD,4121,07 3847 9820,07 3847 3066,hollandparkoshc@bne.centacare.net.au,,75,7/1/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.stjoachimscps.qld.edu.au/?page_id=268,5 - 12 years,"""BSC: $14.00 - $16.50, ASC: $19.00 - $20.50, VC: $37.00 - $39.00""","""BSC: 6:45 - 8:30am, ASC: 2:50 - 6:00pm, VC: 7:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000344,PR-00000889,Child care,Tarragindi Child Care and Development,Dart Briggs Investments Pty Ltd ATF The Dart Family Trust No 2,311 Toohey Road  ,TARRAGINDI,QLD,4121,07 3892 6044,07 3892 6003,tccd@iprimus.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 80 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019. (subject to the provisions of Regulation 310 (1)).,68,2/28/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.tccd.com.au/,6 weeks - 5 years,"""6 weeks - 24 months: $97.00, 25 months - 5 years: $84.00""",7:00am - 6:00pm,T,T,F,,F,F,,,,,,,,,,,,,,,
SE-00001483,PR-00000139,School hours care,Tarragindi War Memorial Kindergarten,Tarragindi War Memorial Kindergarten Inc,31 Newington Street  ,TARRAGINDI,QLD,4121,07 3848 2529,,sue_kindy@yahoo.com.au,,50,8/9/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/tarragindi,3.5 - 4.5 years,,8:20am - 2:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001046,PR-00000803,OSHC,Wellers Hill School Age Child Care Service,Wellers Hill State School Parents & Citizens Association,Wellers Hill State School  190 Toohey Road,TARRAGINDI,QLD,4121,07 3892 6344,07 3848 0228,saccs1@bigpond.com, An approved alternative solution relating to the performance criteria p18 Accessability within MP 5.4 Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,150,5/11/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,https://wellhillss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 6:50 - 8:50am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000069,PR-00007925,Child care,Active Kids Early Learning Centre Mt Gravatt East,Alison Campbell ATF Alison Campbell Childcare Trust,89 Newnham Road  ,MOUNT GRAVATT EAST,QLD,4122,07 3349 8835,07 3849 3759,mtgravatt@activekids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,56,6/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://activekids.net.au/child-care-mount-gravatt-centre-information.php,6 weeks - 5 years,"""6 weeks - 2 years: $82.00, 15 months - 2 years: $79.00, 2 - 3 years: $78.00, 3 - 5 years: $76.00""",6:30am - 6:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000599,PR-00000771,Child care,Brisbane Adventist College Early Learning Centre,Seventh Day Adventist Schools (South Queensland) Limited,303A Broadwater Rd  ,MANSFIELD,QLD,4122,07 3347 6403,07 3347 6482,elc@bac.qld.edu.au , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,50,3/24/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.bac.qld.edu.au/early-learning-centre/,6 weeks - 5 years,"""6 weeks - 2 years: $73.00, 2 - 3.5 years: $71.00, 3.5 - 5 years: $68.00""",7:00am - 6:00pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001751,PR-00000771,OSHC,Brisbane Adventist College Out Of School Hours Care,Seventh Day Adventist Schools (South Queensland) Limited,303A Broadwater Rd  ,MANSFIELD,QLD,4122,07 3347 6403,07 3347 6482,elc@bac.qld.edu.au,,30,10/12/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.bac.qld.edu.au/outside-school-hours-care/,5 - 12 years,"""BSC: $12.00, ASC: $17.00, VC: $55.00""","""BSC: 7:00 - 8:15am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000066,PR-00008029,Child care,C&K Mount Gravatt West Community Child Care Centre,The Creche and Kindergarten Association Limited,43B Clough Street  ,MOUNT GRAVATT,QLD,4122,07 3849 5922,07 3849 5298,mtgravatt@candk.asn.au, The service is approved to provide a rest period from 11:45 to 1:45pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months in place of regulation 123(1)(a) until 31 December 2017.,58,4/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/mtgravattwest,6 weeks - 5 years,"""6 weeks - 2 years: $87.40, 15 months - 5 years: $85.30""",7:15am - 5:45pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-40000617,PR-00008029,School hours care,C&K Mt Gravatt East Community Kindergarten,The Creche and Kindergarten Association Limited,Newnham Rd  ,MOUNT GRAVATT EAST,QLD,4122,07 3552 5333,,mtgravatteast@candk.asn.au,,24,4/19/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/mtgravatteast,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001982,PR-00008029,School hours care,C&K St Catherine's Community Kindergarten,The Creche and Kindergarten Association Limited,Bellot Street  ,WISHART,QLD,4122,07 3349 8798,07 3349 8798,stcatherines@candk.asn.au,,25,12/11/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/stcatherines,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:45am - 2:45pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00000060,PR-00000783,Child care,Citipointe Kindergarten,Christian Outreach Centre,322 Wecker Road   ,MANSFIELD,QLD,4122,07 3849 5238,07 3349 3543,childcare@citipointechurch.com, This service is approved to provide education and care to children from 30 months up to and including over preschool age. The service is not approved to provide education and care to school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,58,7/12/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://bris.citipointechurch.com/education/child-care,6 weeks -  5 years,"""6 weeks - 24 months: $75.00, 24 - 36 months: $73.00, 3 - 4 years: $70.00, 4 - 5 years: $69.00""",7:30am - 5:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000331,PR-00001129,Child care,Goodstart Early Learning Upper Mt Gravatt,Goodstart Early Learning Ltd,2230 Logan Road  ,UPPER MOUNT GRAVATT,QLD,4122,07 3349 1936,07 3349 9730,gci@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.goodstart.org.au/centres/upper-mount-gravatt/overview,6 weeks -  6 years,"""6 weeks - 24 months: $86.10, 25 months - 6 years: $76.30""",6:30 am - 6:30 pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000626,PR-00001129,Child care,Goodstart Early Learning Wishart,Goodstart Early Learning Ltd,6 Boyanda Street  ,WISHART,QLD,4122,07 3849 6111,,wis@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/wishart/overview,6 weeks - 6 years,"""6 weeks - 24 months: $88.10, 25 months - 6 years: $81.40""",6:30 am - 6:00 pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00002281,PR-00001133,Child care,Green Eggs Early Childhood Centre,Green Eggs Early Childhood Pty Ltd,72 - 78 Ham Road  ,MANSFIELD,QLD,4122,07 3349 3233,,mail@greeneggschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,4/19/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.greeneggschildcare.com.au/,15 months - 6 years,"""15 months - 2 years: $85.00, 2 - 3 years: $83.00, 3 - 6 years: $81.00""",6:30am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001111,PR-00001030,OSHC,Helping Hands Mansfield,Helping Hands Network Pty Ltd,174 Ham Road  ,MANSFIELD,QLD,4122,07 3349 8917,07 3349 8917,mansfield@helpinghandsnetwork.com.au , This service is approved to provide education and care to 75 children before school; and 120 children after school and during school holidays An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,2/8/10,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.helpinghandsnetwork.com.au/our-schools/mansfield-state-school,5 - 12 years,,"""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",F,F,F,,,T,,,,,,,,,,,,,,,
SE-40000096,PR-40000128,Child care,Hillsong Child Care Centre- Brisbane,Hillsong Church Ltd,Hillsong Child Care Centre  16 Rover St,MOUNT GRAVATT,QLD,4122,07 342 28595,07 3422 8599,childcarecentre@hillsong.com, The service is approved to provide education and care to children from birth up to and including over preschool age and including school children.,75,4/23/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://brisbanechildcare.hillsong.com/,6 weeks - 5 years,"""6 weeks - 2 years: $75.00, 2 - 3 years: $73.00, 3 - 5 years: $68.00""",7:00am - 6:00pm,T,F,F,,,T,,,,,,,,,,,,,,,
SE-00001844,PR-00000787,"Child care, OSHC",Little Darlings Early Development Centre,Little Darlings Pty Ltd ATF the JS Little Darlings Early Development Centre Trust Little Darlings Pty Ltd ATF the Tc Little Darlings Early Development Centre Trust and Citrius Pty Ltd ATF the NCD Trust,1826 Logan Road  ,UPPER MOUNT GRAVATT,QLD,4122,07 3420 6555,07 3422 2884,littledarlings@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,10/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/little-darlings-early-development-centre.html,6 weeks - 12 years,"""6 weeks - 5 years: $77.50 - $67.50, 5 - 12 years BSC: $12.00, 5 - 12 years ASC: $21.00, 5 - 12 years VC: $59.50""",6:15am - 6:15pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000873,PR-00000337,OSHC,Mount Gravatt East S. S. School Age Care,Mount Gravatt East S. S.  P  & C  Association,20 Newnham Road  ,MOUNT GRAVATT EAST,QLD,4122,07 3849 2397,,mtgravatteastsac@bigpond.com, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 45 The maximum number of children able to be provided with education and care during school holidays is 75,75,9/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://mtgravatss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $13.00 - $15.00, ASC: $17.00 - $19.00, VC: $49.00 - $69.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001846,PR-00000789,"Child care, OSHC",Mt Gravatt East Early Learning Centre,Fasio Investments Pty Ltd,134 Newnham Road  ,MOUNT GRAVATT EAST,QLD,4122,07 3422 2535,07 3422 1393,mtgravatteast@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,10/10/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.kal.net.au/home/centres/item/mt-gravatt-east-early-learning-centre.html?category_id=1,6 weeks - 12 years,,6:15am - 6:15pm,"""Morning tea, afternoon tea""",T,F,,,F,,,,,,,,,,,,,,,
SE-00001428,PR-00000202,School hours care,Mt Gravatt Kindergarten & Preschool,Mt Gravatt Kindergarten & Pre School Association Inc,56A Shire Road   ,MOUNT GRAVATT,QLD,4122,07 3349 2995,,mtgravattkindy@bigpond.com,,23,6/10/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.mtgravattkindergarten.asn.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $700.00 per term + $20.00 waitlist fee""",,F,F,F,,,F,,,,,,,,,,,,,,,
