ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000879,PR-00000598,OSHC,Ironside Community After School Activities,Ironside Community After School Activities Group Inc,Ironside State School  2 Hawken Drive,ST LUCIA,QLD,4067,07 3870 9849,07 3870 9849,icasag@optusnet.com.au, The maximum number of children able to be provided with education and care after school is 155 The maximum number of children able to be provided with education and care before school is 45 The maximum number of children able to be provided with education and care during school holidays is 100 An approved alternate solution relating to Performance Criteria 18  Accessibility within MP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,155,4/19/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://icasag.com/welcome/,5 - 12 years,"""BSC: $7.00 - $8.00, ASC: $22.00 - $28.00, VC: $35.00 - $45.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00000521,PR-00000929,Child care,Margaret Cribb Child Care Centre,Margaret Cribb Child Care Centre Association Inc,70 Coleridge Street  ,ST LUCIA,QLD,4067,07 3365 1509,,margaret.cribb@mcccc.org.au, This service is approved to provide education and care to chlildren from birth up to and including over preschool age  not including school children.,75,4/4/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.mcccc.org.au/,6 weeks -  5 years,"""6 weeks - 35 months: $80.00, 3 - 5 years: $76.00""",7:30am - 5:30pm,F,F,F,,,F
SE-00000079,PR-00000678,Child care,Playhouse Parent and Child Care Centre,Playhouse Parent and Child Care Centre Incorporated,22 Union Road  University Of Queensland,ST LUCIA,QLD,4067,07 3377 2231,07 3377 2221,playhouse@uq.edu.au, This service is not required to comply with P1 (b) P3 (d) and P5 (f) of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,72,8/22/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 24 months: $80.00, 2 - 3 years: $75.00, 3 - 5 years: $71.00""",7:30am - 5:30pm,T,F,F,,,F
SE-00001471,PR-00000311,School hours care,St Lucia Kindergarten,St Lucia Kindergarten Association Inc,Ironside Street  ,ST LUCIA,QLD,4067,07 3870 9213,,stluciak@bigpond.net.au, This service is approved to provide education and care to children from children from 15 months up to and including school children,44,5/24/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stluciakindergarten.com.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.00 per day + $20.00 administration fee + $100.00 working bee levy""",8:40am - 2:50pm,F,F,F,,,T
SE-00001473,PR-00000075,School hours care,St Thomas's Riverview Kindergarten,St Thomas's Riverview Kindergarten Inc,186 Macquarie Street  ,ST LUCIA,QLD,4067,07 3371 1556,,strkindy@bigpond.net.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,5/24/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.stthomassriverview.com.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.00 per day + $50.00 enrolment fee + $20.00 association fee + $100.00 building fund + $50.00 per term parent roster levy""",8:45am - 2:45pm,F,F,F,,,F
SE-00000080,PR-00000132,Child care,The Munro Centre,The Munro Centre Inc,Cnr Sir Fred Schonell Drive and Sir William MacGregor Drive  ,ST LUCIA,QLD,4067,07 3365 2840,07 3365 2840,munrocentre@uqconnect.net, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children. This service has been assessed for suitability in accordance with the physical environment requirements conatined within Regulations 103-115 of the Education and Care Services National Regulations. Due to irreparable damge caused by the January 2011 floods to the service premises located at 28 Munro Street St. Lucia this service is approved to operate from the temporary premise at the address nominated above until mid 2014 when the rebuild to the new premises is scheduled to be completed.,30,6/22/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 3 years,"""6 weeks - 15 months: $95.00, 15 - 30 months: $92.00, 30months - 3 years: $88.00""",7:30am - 5:30pm,F,F,F,,,F
SE-00001515,PR-00008029,School hours care,C&K Yelangi Pre School & Kindergarten,The Creche and Kindergarten Association Limited,31 York Street  ,INDOOROOPILLY,QLD,4068,07 3371 3754,3876 8701,yelangi@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,44,7/6/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/yelangi,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day""",8:20am - 2:30pm,F,F,F,,,T
SE-00001812,PR-00002539,OSHC,Camp Australia - Nudgee Junior College OSHC,Camp Australia Pty Limited,Twigg Street  ,INDOOROOPILLY,QLD,4068,0450 776 873,,qldnudgee@oshccampaustralia.com.au, This service may provide education and care after school and during school holidays only. An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,80,11/18/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.campaustralia.com.au/Service/QLDNudgeeJuniorCollege/B37B,5 - 12 years,"""ASC: $16.00 - $19.00, VC: $45.00""","""ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T
SE-00001773,PR-40001120,Child care,Chatterbox Child Development and Care Centre - Taringa,Chatterbox Development Pty Ltd ATF Walsh Family Trust,11 Rokeby Tce  ,TARINGA,QLD,4068,07 3719 5544,,taringa@chatterboxchildcare.com.au; stephanie@chatterboxchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/27/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.chatterboxchildcare.com.au/html/_findUs.html#taringa,6 weeks - 5 years,"""6 weeks - 35 months: $87.00, 36 months - 5 years: $77.00""",7:00am - 6:00pm,T,T,F,T,F,F
SE-00001532,PR-00000256,School hours care,Chelmer Station Community Kindergarten,Chelmer Station Community Kindergarten Inc,6 Halsbury Street  ,CHELMER,QLD,4068,07 3278 1327,,admin@chelmerstationkindy.com.au,,24,8/11/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.chelmerstationkindy.com.au/,3.5 years - 4.5 years,"""3.5 - 4.5 years: $29.00 per day + $10.00 waitlist fee + $100.00 enrolment fee + $10.00 membership fee + $25.00 per term maintenance levy + $25.00 fundraising levy + $10.00 - $20.00 per term excursion fee""",8:30am - 2:30pm,F,F,F,,,F
SE-00000741,PR-00001129,Child care,Goodstart Early Learning Indooroopilly - Witton Road,Goodstart Early Learning Ltd,18 Witton Road  ,INDOOROOPILLY,QLD,4068,07 3378 6700,,ind@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,93,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/indooroopilly-witton-road/overview,6 weeks - 5 years,"""6 weeks - 12 months: $88.40, 13 - 24 months: $86.30, 25 - 35 months: $81.70, 3 - 5 years: $80.60""",6:30am - 6:30pm,F,F,F,F,,F
SE-00000051,PR-00001129,Child care,Goodstart Early Learning Indooroopilly - York Street,Goodstart Early Learning Ltd,45-49 York St  ,INDOOROOPILLY,QLD,4068,07 3870 9615,3870 9339,ine@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,106,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/indooroopilly-york-street/overview,6 weeks -  5 years,"""6 weeks - 12 months: $91.30, 13 - 24 months: $90.80, 25 months - 5 years: $81.50""",7:00am - 6:00pm,F,T,F,,,F
SE-00001374,PR-00000230,School hours care,Hillsdon Kindergarten,Hillsdon Kindergarten Association Inc,79 Hillsdon Road  ,TARINGA,QLD,4068,07 3870 7861,3870 4607,admin@hillsdonkindergarten.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,5/16/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.hillsdonkindergarten.com/,3.5 years - 4.5 years,"""3.5 - 4.5 years: $700.00 - $745.00 per term + $100.00 working bee levy (refundable) + $25.00 sheet set + $2.00 association fee""",8:30am - 4:00pm,F,F,F,,,F
SE-00000951,PR-00000702,OSHC,Holy Family Parish Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Parish Hall  37 Ward Street,INDOOROOPILLY,QLD,4068,07 3371 9369,,indooroopilly@bne.centacare.net.au, This service is approved to provide education and care to children after school and during school holidays only. This service is approved to provide education and care to children from over preschool age including school children.,59,7/19/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,5 - 12 years,"""ASC: $18.00""","""ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""",F,F,F,,,F
SE-00000911,PR-00000593,OSHC,Indooroopilly After School Care,Indooroopilly After School Care Association Inc,Indooroopilly State School  1 Russell Terrace,INDOOROOPILLY,QLD,4068,07 3327 2334,07 3878 2091,issoshc@bigpond.com, An approved alternative solution relating to Performance Criteria P16 Electrical Safety Precautions within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004). This service is approved to provide education and care to children from over preschool age including school children.,180,6/15/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://iasca.org.au/,3 - 12 years,"""BSC: $11.50, ASC $18.00, VC: $40.00 - $43.00 + $20.00 enrolment fee per child""","""BSC: 6:45 - 8:40am, ASC: 3:00 - 6:00pm, VC: 6:45am - 6:00pm""","""Breakfast, morning tea, lunch, afternoon tea""",F,F,,,F
SE-00001379,PR-00000155,School hours care,Indooroopilly Kindergarten and Preschool,Indooroopilly Kindergarten,376 Moggill Road  ,INDOOROOPILLY,QLD,4068,07 3378 2578,,ipillykindy@bigpond.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,9/21/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/indooroopilly,3.5 - 4.5 years,"""3.5 - 4.5 years: $520.00 - $780.00 per term + $200.00 working bee levy (refundable)""",9:00am - 2:30pm,F,F,F,,,F
SE-00002084,PR-40001007,Child care,Indooroopilly Montessori Children's House ,Trustees of Edmund Rice Education Australia,68 Kate Street  ,INDOOROOPILLY,QLD,4068,07 3378 5371,07 3378 5391,montessori@imch.com.au, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,165,2/4/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.imch.com.au/,6 weeks - 5 years,"""6 weeks - 5 years: $102.50 - $97.00 + $220.00 enrolment fee + $400.00 bond (refundable) + $55.00 annual membership fee""",7:30am - 6:00pm,F,F,F,,,T
SE-00002191,PR-00001044,Child care,Kids On Clarence,Acorp Pty Ltd,137-143 Clarence Road  ,INDOOROOPILLY,QLD,4068,07 3720 8600,07 3371 6774,kidsonclarence@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P4 Sleeping facilities P8 Nappy change facilities and P13 Laundry facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 1 September 2003) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to provisions of Regulation 310(!)). This service is approved to provide education and care to children from birth up to and including school children.,97,5/25/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 4 years,"""6 weeks - 15 months: $94.00, 15 - 30 months: $92.00, 2 - 3 years: $89.00, 3 - 4 years: $85.00 - $87.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00000091,PR-00000566,Child care,Montessori Childcare Taringa,Inside Outside Montessori Children's House Pty Ltd,5 Woolley Street  ,TARINGA,QLD,4068,07 3378 4269,07 3378 0410,info@montessorichildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children,43,9/25/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.montessorichildcare.com.au/taringa-home-page.html,15 months - 5 years,,7:30am - 6:00pm,,,,,,F
SE-00001204,PR-00000697,OSHC,St Peters Lutheran College Outside School Hours Care,Lutheran Church of Australia Queensland District, Lambert Road  ,INDOOROOPILLY,QLD,4068,07 3377 6533,07 3377 6257,oshc@stpeters.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,80,10/5/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.qlecs.org.au/index.php?ref=MTk0Mw==,5 - 12 years,"""BSC: $8.00, ASC: $21.00, VC: $49.00z'","""BSC: 7:00 - 8:30am, ASC: 2:30 - 6:00pm, VC: 8:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001476,PR-00000180,School hours care,Staverton Kindergarten,Staverton Kindergarten Association Inc,43 Twickenham Street  ,CHELMER,QLD,4068,07 3379 1511,07 3379 1120,admin@staverton.com.au,,50,3/19/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.staverton.com.au/,3.5 years - 4.5 years,"""3.5 - 4.5 years: $775.00 per term $150.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,F
SE-00001052,PR-00000355,OSHC,Brisbane Montessori Outside School Hours Care,Montessori School Ltd,Brisbane Montessori School  12 Mactier Street Fig Tree Pocket Road,FIG TREE POCKET,QLD,4069,3327 0600,07 3878 3953,naomi@bms.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,40,8/15/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://www.bms.qld.edu.au/ourschool/oshc,3 - 12 years,"""BSC: $25.00, ASC: $35.00, VC: $55.00""","""BSC: 7:30 - 9:00am, ASC: 3:00 - 6:00pm, 7:30am - 6:00pm""",F,F,F,,,F
SE-00011341,PR-00000355,,Brisbane Montessori School - Programmes,Montessori School Ltd,12 Mactier Street   ,FIG TREE POCKET,QLD,4069,07 3327 0600,07 3878 3953,principal@bms.qld.edu.au, This service is approved to provide education and care to children from birth up to and including school children An approved alternate soloution relating to Performance Criteria P4 Outdoor play facilities P6 Nappy Change facilities P7 Sluicing facilities P9 Food preparation facilities P11 Play pits within MP 5.4 Child Care Centres of the Queensland Developmental Code (with publication date of 16 November 2007) applies to this service.,140,12/12/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,,,,,,,,,
SE-00000729,PR-00000205,Child care,Brookfield Early Childhood Centre,Glengarton Pty Ltd,593A Brookfield Road  ,BROOKFIELD,QLD,4069,07 3374 0689,07 3374 0690,admin@brookfieldecc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/4/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.brookfieldecc.com.au/,6 weeks -  5 years,"""6 weeks - 15 months: $90.00, 15 months - 3 years: $86.00, 3 - 5 years: $84.00""",7:00am - 6:00pm,T,F,F,,,F
SE-00001317,PR-00000125,School hours care,Chapel Hill Community Preschool and Kindergarten Assoc Inc,Chapel Hill Community Preschool & Kindergarten Assoc Inc,27 Fawkner Street  ,CHAPEL HILL,QLD,4069,07 3378 2008,,chapelhillkindy@optusnet.com.au,,25,8/17/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/chapelhill,3.5 - 4.5 years,"""3.5 - 4.5 years: $720.00 - $340.00 per term + $70.00 maintenance levy per term + $10.00 activity fee""",8:30am - 2:30pm,F,F,F,,,F
SE-40000657,PR-40000598,Child care,Chapel Hill Montessori Children's House,Chapel Hill Montessori Children's House Pty Ltd ATF Chapel Hill Montessori Children's House Unit Trust,5 Cedarleigh Rd  ,KENMORE,QLD,4069,07 3378 0700,,info@chmch.com.au,,75,4/15/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.chmch.com.au/,6 weeks - 5 years,,7:00am - 6:00pm,F,F,F,,,F
SE-00000313,PR-00000107,Child care,Fig Tree Pocket Early Childhood Centre,Fig Tree Pocket Early Childhood Centre Pty Ltd,233 Fig Tree Pocket Road  ,FIG TREE POCKET,QLD,4069,07 3878 2277,3878 8277,ftpecc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,106,12/28/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://ftpecc.com.au/,6 weeks - 5 years,"""6 weeks - 24 months: $84.00, 25 months - 5 years: $78.00""",7:00am - 6:00pm,F,F,F,,,T
SE-00001147,PR-00000227,OSHC,Fig Tree Pocket Outside School Hours Care,Fig Tree Pocket  State School P & C Assoc.,Fig Tree Pocket State School  78 Cubberla Street,FIG TREE POCKET,QLD,4069,07 3878 1330,07 3878 1330,ftposhc@hotmail.com, An approved alternative solution relating to Performance Criteria P18 Accessibility within MP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service.,80,2/1/09,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,5 - 12 years,"""BSC: $8.00, ASC: $15.50, VC: $40.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Morning tea, afternoon tea""",F,F,,,F
SE-00001353,PR-00000601,School hours care,Gan Gani Kindergarten,Queensland Jewish Kindergarten Association Inc,691-695 Fig Tree Pocket Road  ,FIG TREE POCKET,QLD,4069,07 3378 9233,3878 5533,info@gangani.net.au,,25,5/16/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.gangani.net.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.85 per day""",8:45am - 2:45pm,F,F,F,,,F
SE-00000055,PR-00001129,Child care,Goodstart Early Learning Kenmore - Kersley Road,Goodstart Early Learning Ltd,49 Kersley Road  ,KENMORE,QLD,4069,07 3378 9396,07 3378 9988,ken@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/kenmore-kersley-road/overview,6 weeks -  5 years,"""6 weeks - 12 months: $92.30, 13 - 23 months: $85.60, 3 - 4 years: $85.00, 4 - 5 years: $84.50""",6:45am - 6:15pm,T,F,F,,,F
SE-00000323,PR-00001129,Child care,Goodstart Early Learning Kenmore - Princeton Street,Goodstart Early Learning Ltd,16 Princeton Street  ,KENMORE,QLD,4069,07 3878 3537,3878 3537,kmy@goodstart.org.au, This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/kenmore-princeton-street/overview,13 months - 5 years,"""13 - 24 months: $91.70, 25 months - 5 years: $87.60""",6:30 am to 6:00pm,T,F,F,,,F
SE-00001653,PR-00001129,Child care,Goodstart Early Learning Pullenvale,Goodstart Early Learning Ltd,18 Bainbridge Drive   ,PULLENVALE,QLD,4069,07 3720 0577,,pul@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.goodstart.org.au/centres/pullenvale/overview,6 weeks -  6 years,"""6 weeks - 24 months: $83.00, 25 - 35 months: $77.30, 36 months - 5 years: $73.20""",7:00am - 6:00pm,F,F,F,,,F
SE-00000902,PR-00001030,OSHC,Helping Hands Chapel Hill,Helping Hands Network Pty Ltd,Chapel Hill State School  Ironbark Road,CHAPEL HILL,QLD,4069,488237011,07 5438 9549,chapelhill@helpinghandsnetwork.com.au, An approved alternative solution relating to Performance Criteria 18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,90,4/27/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,,5 - 12 years,"""BSC: $10.00, ASC: $14.00, VC: $40.00""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",,,,,,F
