ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000190,PR-00001081,"Child care, OSHC",Kidikingdom Child Care Centre - Waterford West,Kidikingdom Child Care Centre Pty Ltd,2 Carnation Street  ,WATERFORD WEST,QLD,4133,07 3805 2092,,kidikingdom@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,81,6/20/11,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.kidikingdom.com,6 weeks -  13 years,"""6 weeks - 4 years: $75.00, 4 - 6 years: $72.00, 5 - 12 years BSC: $30.00, 5 - 12 years ASC: $34.00, 5 - 12 years VC: $65.00""",6:30 am - 6:00 pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001063,PR-00000659,OSHC,PCYC Crestmead - Waterford West School Age Care,Queensland Police-Citizens Youth Welfare Association ,Waterford West State School  3-15 John Street,WATERFORD WEST,QLD,4133,07 3805 8651,07 3805 8651,wendy.ross@pcyc.org.au, An approved alternative solution relating to Performance Criteria P18 within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,60,3/19/09,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://pcyc.org.au/School-Age-Care/Crestmead-Waterford-West.aspx,5 - 12 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000570,PR-00000444,Child care,Tiggers Place Early Learning Centre,Ekgold Pty Ltd,78 Logan Reserve Road  ,WATERFORD WEST,QLD,4133,07 3805 1196,,dir@tiggersplaceelc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,2/23/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,,6:00am - 6:00pm,T,F,F,,T,F,,,,,,,,,,,,,,,
SE-00000496,PR-00000898,"Child care, OSHC",Waterford West World of Learning,G8 Education Limited,154-156 Chambers Flat Rd  ,WATERFORD WEST,QLD,4133,07 3805 3980,07 3805 9397,waterfordwest@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,108,5/4/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.worldoflearning.com.au/centres/waterford-west-world-of-learning/,6 weeks -  12 years,"""6 weeks - 24 months: $74.00, 25 - 35 months: $72.00, 36 months - 5 years: $70.00, 5 - 12 years BSC: $21.00, 5 - 12 years ASC: $24.00""",6:30 am - 6:30 pm,"""Breakfast, morning tea, afternoon tea""",T,F,,,T,,,,,,,,,,,,,,,
SE-00002405,PR-00000081,"Child care, OSHC",Woodlands Early Education Centre,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,Cnr Jarvis and High Street   ,WATERFORD WEST,QLD,4133,07 3386 1437, ,woodlands@qccs.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,85,10/17/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=33&name=Woodlands+Early+Education+Centre,6 weeks - 12 years,"""6 weeks - 24 months: $81.00, 25 months - 5 years: $79.00, 5 - 12 years BSC: $23.00, ASC: $25.00""",6:00am - 6:00pm,T,F,F,F,,F,,,,,,,,,,,,,,,
SE-00001903,PR-00000844,Child care,Adeona Coorparoo,BJ Stafford Nominees P/L ATF BJ Stafford Trading Trust,1216-1218 Stanley Street East  ,COORPAROO,QLD,4151,07 38432188,07 3843 5188,info@adeona.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Saturday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,81,4/9/09,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.adeona.com.au/,6 weeks -  5 years,"""6 weeks - 3.5 years: $98.00, 3.5 - 5 years: $93.00""",7:00am - 6:00pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00000794,PR-00000526,Child care,Brisbane Family Day Care,Family Day Care Association Queensland Inc,Unit 2/7 Birubi Street  ,COORPAROO,QLD,4151,07 33973655,,brisbanefdc@fdcaq.com.au,,0,6/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 12 years,"""6 weeks - 12 years: $5.00 - $12.50 per hour""",,,,,,,F,,,,,,,,,,,,,,,
SE-00001332,PR-00008029,School hours care,C&K Coorparoo Community Kindergarten ,The Creche and Kindergarten Association Limited,53 Meridian Street  ,COORPAROO,QLD,4151,07 3397 4974,33976915,coorparoo@candk.asn.au,,50,8/7/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/coorparoo,3.5 - 4.5 years,"""3.5 - 4.5 years: $27.00""",,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001522,PR-00000144,School hours care,Canossa Kindergarten,Corporation of the Order of the Canossian Sisters,86 Milsom Street  ,COORPAROO,QLD,4151,07 3843 3155,,belenfdcc@bigpond.com,,74,1/13/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.canossakindergarten.com.au/Canossa_Kindergarten_Coorparoo/Welcome.html,3 - 5 years,,8:45am - 2:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000663,PR-00000389,Child care,Coorparoo Child Care Centre,Lake Mona Pty Ltd,66 Halstead Street  ,COORPAROO,QLD,4151,07 3847 4337,07 3847 4844,coccc@childcaresolutions.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/11/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,"""6 weeks - 12 months: $68.00, 13 - 24 months: $64.50, 25 months - 5 years: $64.00""",7:00am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000637,PR-00001129,Child care,Goodstart Early Learning Coorparoo - Cavendish Road,Goodstart Early Learning Ltd,356 Cavendish Road  ,COORPAROO,QLD,4151,07 3847 4411,38473288,cpo@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/coorparoo-cavendish-road/overview,6 weeks -  5 years,"""6 weeks - 12 months: $97.60, 13 - 24 months: $90.40, 25 months - 5 years: $84.60""",6:15am - 6:15pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000709,PR-00001129,Child care,Goodstart Early Learning Coorparoo - Tiber Street,Goodstart Early Learning Ltd,52 Tiber Street  ,COORPAROO,QLD,4151,07 3217 9977,3217 9966,cpn@goodstart.org.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/coorparoo-tiber-street/overview,6 weeks -  5 years,"""6 weeks - 12 months: $96.90, 13 - 24 months: $93.70, 25 - 35 months: $90.10, 36 months - 5 years: $87.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001369,PR-00000419,School hours care,Harty Street Community Kindergarten and Pre School,Harty Street Community Kindergarten & Preschool Assoc Inc,16 Harty Street  ,COORPAROO,QLD,4151,07 3397 6434,3397 6434,info@hartyst.org.au,,50,4/21/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/hartystreet,3.5 - 4.5 years,"""3.5 - 4.5 years: $635.00 per term""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002241,PR-00001095,School hours care,Hopscotch House ,The Quality Child Care Company Pty Ltd,424 Chatsworth Road  ,COORPAROO,QLD,4151,07 3395 0555,,enquiries@hopscotchhouse.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,113,5/4/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.hopscotchhouse.com.au/hopscotch/,6 weeks - 6 years,"""6 weeks - 3.5 years: $90.00, 3 - 6 years: $85.00 + $100.00 enrolment fee + $200.00 bond (refundable)""",7:00am - 6:00pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-00000887,PR-00000250,OSHC,Jabiru Kids Coorparoo,Jabiru Community Youth & Children's Services Association Inc,Coorparoo State School  327 Old Cleveland Road,COORPAROO,QLD,4151,07 3397 4817,33975102,leonie@jabiru.org.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,120,10/1/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.jabiru.org.au/kids/about/coorparoo/,5 - 12 years,,"""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000600,PR-00000303,Child care,Koala Lou Child Care and Nursery Centre,P&J O'Donnell Pty Ltd,402 Cavendish Road  ,COORPAROO,QLD,4151,07 3397 7955,3397 6655,koala_lou@bigpond.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,75,5/17/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.koalalouchildcare.com.au,8 weeks -  5 years,"""6 weeks - 15 months: $84.00, 15 months - 3 years: $82.00, 3 - 5 years: $75.00""",6:30am - 6:00pm,F,T,F,T,,F,,,,,,,,,,,,,,,
SE-00013983,PR-00007761,Child care,Norfolk Street Children's Centre,Nick Kolatsis ,22 Norfolk Street   ,COORPAROO,QLD,4151,07 3847 7884,07 38477852,info@norfolkstchildcare.com.au,,74,6/21/12,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.norfolkstreetchildcare.com.au/,8 weeks - 5 years,"""8 weeks - 5 years: $96.00""",7:00am - 6:00pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00001112,PR-00000702,OSHC,Our Lady Of Mt Carmel OSHC,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Norfolk Street  ,COORPAROO,QLD,4151,07 3847 9585,,mtc.coorparoooshc@bne.centacare.net.au, An approved alternative solution relating to Perfomance Criteria  P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service may provide education and care before and after school only. The maximum number of children able to be provided with education and care after school is 50  The maximum number of children able to be provided with education and care before school is 20 ,50,10/6/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $12.00, ASC: $15.00""","""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00am""","""Afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000042,PR-00000957,Child care,Peter Pan Wholistic Early Childhood Centre,Barrie Pty Ltd ATF Treasure  Island Trust,22A Eva Street  ,COORPAROO,QLD,4151,07 3397 5601,07 3397 4712,mail@ppccc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,6/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ppccc.com.au/,15 months - 6 years,"""15 months - 2 years: $88.00, 2 - 3 years: $86.00, 3 - 5 years: $84.00""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000998,PR-00000702,OSHC,St James Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,2 Rialto Street  ,COORPAROO,QLD,4151,07 3397 8070,07 3397 8170,stj.coorparoooshc@bne.centacare.net.au, An approved alternative solution relating to Perfomance Criteria  P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to:30 children before school and60 after school,60,10/6/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.stjames.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $14.00, ASC: $19.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001712,PR-00008029,School hours care,C&K Carindale Community Kindergarten,The Creche and Kindergarten Association Limited,24 Cuthred Street  ,CARINA,QLD,4152,07 3324 8011,,carindale1@candk.asn.au,,66,2/7/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/carindale,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00001836,PR-00002539,OSHC,Camp Australia - Citipointe Christian College OSHC,Camp Australia Pty Limited,322 Wecker Road  ,CARINDALE,QLD,4152,07 3347 5969,3347 5900,qldcitipointe@oshccampaustralia.com.au, This service may provide education and care after school and during school holidays only.,90,7/7/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://brisbane.coc.edu.au/discover-citipointe/outside-school-hours-care/,5 - 12 years,"""ASC: $17.50 - $22.50, VC: $45.00""","""ASC: 3:20 - 6:00pm, VC: 6:30am - 6:00pm""","""Afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001311,PR-00000402,School hours care,Camp Hill Kindergarten and Pre School,Camp Hill Kindergarten & Preschool Association Inc,71 Wiles Street  ,CAMP HILL,QLD,4152,07 3398 2524,07 3843 0182,admin@camphillkindy.org.au,,49,2/9/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.camphillkindy.org.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $25.00 per day + $100.00 working bee levy + $100.00 enrolment fee""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000975,PR-00000215,OSHC,Camp Hill Outside School Hours Care,Camp Hill State Infants and Primary School P & C Association,676 Old Cleveland Road  ,CAMP HILL,QLD,4152,073398 9606,07 3398 8398,camphilloshc7@bigpond.com,,170,8/25/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://camphillipss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $12.00, ASC: $18.00, VC: $40.00""","""BSC: 6:45 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000620,PR-00000889,Child care,Carina Heights Child Care and Development,Dart Briggs Investments Pty Ltd ATF The Dart Family Trust No 2,35 Gallipoli Road  ,CARINA HEIGHTS,QLD,4152,07 3398 1600,3398 1366,director@chccd.com.au , This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/21/09,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.chccd.com.au/,6 weeks - 5 years,"""6 weeks - 15 months: $97.00, 15 months - 3 years:  $93.00, 2 - 3.5 years: $87.00, 3 - 4 years: $86.00, 4 - 5 years: $84.00 + $10.00 waitlist fee + $50.00 acceptance fee""",7:00am - 6:00pm,T,F,T,,,F,,,,,,,,,,,,,,,
SE-00001313,PR-00000117,School hours care,Carina Kindergarten & Pre School,Carina Kindergarten & Preschool Association Inc,26 Arrowsmith Street  ,CAMP HILL,QLD,4152,07 3398 4904,,sue@carinakindy.org.au,,25,3/27/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/carina,3.5 - 4.5 years,"""3.5 - 4.5 years: $675.00 per term + $100.00 enrolment fee + $5.00 association fee + $100.00 maintenance roster levy""",9:00am - 2:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002096,PR-00000977,Child care,Chatterbox Child Development & Care Centre - Carina ,Chatterbox Holdings Pty Ltd ATF Carina Chatterbox Trust,93 Zahel Street  ,CARINA HEIGHTS,QLD,4152,07 3398 8208,,carina@chatterboxchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,135,3/25/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.chatterboxchildcare.com.au,6 weeks - 5 years,.,7:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-40001525,PR-00000783,Child care,Citipointe Childcare,Christian Outreach Centre,336 Scrub Road  ,CARINDALE,QLD,4152,33475880,33493543,childcare@citipointechurch.com,,117,1/6/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://bris.citipointechurch.com/education/child-care,4 - 5 years,"""4 - 5 years: $50.00""",8:00am - 4:30pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001101,PR-00000868,OSHC,Community Connections Out Of School Hours Care,Whites Hill State College P & C Association,Whites Hill State College  138 Burn Street,CAMP HILL,QLD,4152,07 3843 5123,07 3843 5123,a.paskin@yahoo.com.au , An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 - Child Care Centres of Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,90,9/24/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 15 years,"""BSC: $10.50, ASC: $16.50, VC: $36.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000040,PR-00001129,Child care,Goodstart Early Learning Carina,Goodstart Early Learning Ltd,761 Old Cleveland Road  ,CARINA,QLD,4152,07 3843 1585,07 3324 8235,car@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm om Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,60,11/29/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.goodstart.org.au/centres/carina/overview,6 weeks -  6 years,"""6 weeks - 12 months: $88.80, 13 - 24 months: $84.40, 25 months - 6 years: $80.60""",7:00am - 6:00pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-00000038,PR-00001129,"Child care, OSHC",Goodstart Early Learning Carindale,Goodstart Early Learning Ltd,86 Bridgnorth Street  ,CARINDALE,QLD,4152,07 3395 2122,3843 5418,cdl@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019  (subject to the provisions of Regulation 310 (1)).,60,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/carindale/overview,15mths - 12 years,"""15 - 24 months: $88.60, 25 months - 6 years: $84.00""",6:30am - 6:30pm,F,T,F,,,F,,,,,,,,,,,,,,,
