ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-40000850,PR-40000699,Long Day Care,Sandstone Lakes Early Learning Centre,Jofira Pty Ltd as Trustee for Jofira Unit Trust,1-7 Sandstone Bvd  ,NINGI,QLD,4511,5497 7555,,director@sandstonelakeselc.com.au,,80,7/2/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002202,PR-00000813,"""Long Day Care, Outside Hours Care""",Kids Capers Wamuran,Australian National Homes Pty Ltd ATF The Anh Trust,2 Old North Road   ,WAMURAN,QLD,4512,5496 6093,5496 6027,anhwamuran@bigpond.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,61,8/19/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.caperschildcare.com.au/kidscapers/centre/details/id/8,"""ages 6 weeks to 12 years""","""6 weeks - 23 months: $67.00, 24 months - 35 months: $67.00, 36 months -4 years: $63.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001576,PR-00000708,Out of Hours Care*,Wamuran Out Of School Hours Care,Wamuran State School P&C Association,1066 - 1086 Daguilar Highway  ,WAMURAN,QLD,4512,0405 419 959,5496 6299,woosc2@eq.edu.au, This service is approved to provide education and care to children from over preschool age including school children.,60,9/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://wamuranss.eq.edu.au/Supportandresources/Formsanddocuments/Documents/Wooshc-enrolment.pdf,"""ages 4 years to 13 years""","""ASC: $18.00, VC: $45.00""",2.45pm - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00002283,PR-00008029,Short Day Care,C&K Woodford Community Kindergarten ,The Creche and Kindergarten Association Limited,171 Archer Street   ,WOODFORD,QLD,4514,5496 1405,5422 9567,woodford@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,7/14/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.candk.asn.au/woodford,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00000538,PR-00001129,Long Day Care,Goodstart Early Learning Woodford,Goodstart Early Learning Ltd,16-22 Kropp Road  ,WOODFORD,QLD,4514,07 5496 1321,,ksw@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,72,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/woodford/overview,"""ages 15 months to 5 years""","""15 months - 24 months: $76.10, 25 months - 35 months: $73.50, 36 months - 5 years: $70.30""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001393,PR-00008029,Short Day Care,C&K Kilcoy Community Kindergarten,The Creche and Kindergarten Association Limited,65 Taylor Street  ,KILCOY,QLD,4515,07 5497 1211,5497 2976,kilcoy@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,20,4/14/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/kilcoy,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $35.00""",8.30am - 2.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001956,PR-00000826,Long Day Care,We Rock Childcare Centre,Sundale Garden Village Nambour,52 Taylor Street  ,KILCOY,QLD,4515,5422 4599,,alison.ham@sundale.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 70 children This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,60,7/24/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.sundale.org.au/childcare.htm,"""ages 6 weeks to 6 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002075,PR-00000813,Long Day Care,Kids Capers Childcare Elimbah,Australian National Homes Pty Ltd ATF The Anh Trust,6 School Road   ,ELIMBAH,QLD,4516,5432 8342,5432 8276,elimbah@caperschildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from children from birth up to and including school children,75,8/23/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.caperschildcare.com.au/kidscapers/centre/list,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001943,PR-00000081,Long Day Care,Glasshouse Mountains Early Education Centre & Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,2 Page Street   ,GLASSHOUSE MOUNTAINS,QLD,4518,5438 7311,,glasshouse@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,8/31/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.qccs.com.au/default.aspx,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $75.50, 25 months - 5 years: $72.50""",6.30am - 6.30pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000746,PR-00001129,Long Day Care,Goodstart Early Learning Glass House Mountains,Goodstart Early Learning Ltd,125 Sahara Road  ,GLASSHOUSE MOUNTAINS,QLD,4518,07 5493 0377,,kdg@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/glass-house-mountains/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $79.50, 25 months - 5 years: $69.20""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001274,PR-00000237,,Beerwah & District Kindergarten,Beerwah & District Kindergarten Association Inc,9 Free Street  ,BEERWAH,QLD,4519,07 5494 6346,07 5494 6831,beerwahkindy@aapt.net.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,3/29/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001834,PR-00000782,Long Day Care,Bella Grace Early Learning Centre Beerwah,Bella Grace Beerwah Pty Ltd ATF BG Beerwah Trust,95 Roberts Rd  ,BEERWAH,QLD,4519,54940833,5494 0855,beerwah@bellagrace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,7/26/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.bellagrace.com.au/operation/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $74.00, 13 months - 24 months: $78.00, 25 months - 35 months: $75.00, 36 months - 5 years: $74.00""",6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000359,PR-40000815,Long Day Care,Guppy's Early Learning Centre Beerwah,Guppys ELC Pty Ltd ATF Parkross Family Trust,10 Greber Road  ,BEERWAH,QLD,4519,5494 0777,,mellissa@guppys.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to 75 children from birth up to and including school children.,75,3/8/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.guppys.com.au/,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002107,PR-00001030,Out of Hours Care,Helping Hands Beerwah,Helping Hands Network Pty Ltd,Beerwah State School  Old Gympie Road,BEERWAH,QLD,4519,0448 083 043,,beerwah@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,30,1/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-40000911,PR-00001030,Out Hours Care,Helping Hands Glasshouse Country,Helping Hands Network Pty Ltd,58 Roberts Rd  ,BEERWAH,QLD,4519,411216796,,glasshousecountry@helpinghandsnetwork.com.au,,45,7/13/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002274,PR-00007776,Long Day Care,Cross-Country Kids Childcare,Jubarlee Enterprises Pty Ltd ATF The Longden Family Trust And Feng Holdings Pty Ltd ATF The Feng Family Trust ,1056 Winn Road  ,MOUNT SAMSON,QLD,4520,3289 4713,3289 4738,director@crosscountrykidschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 11:45am to 1:45pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,6/17/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.crosscountrykidschildcare.com.au/,"""ages 6 weeks to 5 years""",,6.30am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000215,PR-40000405,Long Day Care,Head Start Montessori Samford,Head Start Montessori Samford Pty Ltd AFT Head Start Montessori Samford Trust,Cnr Mt Glorious Road And  Mary Ring Drive,SAMFORD,QLD,4520,07 3289 1994,3289 6503,samford@headstartmontessori.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,9/20/14,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.headstartmontessori.com.au/ourcenters.php,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $72.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001162,PR-00000338,Out of Hours Care,Mount Nebo Combined School Care,Mount Nebo Primary P&C Association,View Street  ,MOUNT NEBO,QLD,4520,07 3289 8353,,ccomb13@eq.edu.au, An approved alternative solution relating to Performance Criteria P18 Accessibility with SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service This service is approved to provide education and care to children from over preschool age including school children.,30,11/29/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://mtneboss.eq.edu.au/Ourcommunity/PandC/Pages/PandC.aspx,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001224,PR-00000780,Outside Hours Care*,Mount Samson State School Outside School Hours Care,Mt Samson State School P&C Association,Winn Road  ,MOUNT SAMSON,QLD,4520,07 3289 4623,07 3289 4710,admin@mtsamsonoshc.com.au, This service is approved to provide education and care to 30 children before school; and This service is approved to provide education and care to 45 children after school; and This service is approved to provide education and care to 30 children during school holidays. This service is approved to provide education and care to children from over preschool age including school children.,45,6/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://mtsamsonss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.45am - 8.30am, ASC: 3.00pm - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001460,PR-00000599,Short Day Care,Samford Community Kindergarten,Samford Community Kindergarten Inc,Camp Mountain Road  ,SAMFORD,QLD,4520,07 3289 1759,,samfordkindy@westnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.samfordkindergarten.com.au/,"""ages 3 years to 5 years""","""3 years - 5 years: $700 per term*""",8.45am - 2.50pm,,,,,,,,,,,,,,,,,,,,,
SE-00000479,PR-00000503,Long Day Care,Samford Pines Child Care and Early Learning Centre,Rojaq Holdings Pty Ltd,29 Camp Mountain Road  ,CAMP MOUNTAIN,QLD,4520,07 3289 2699,,samfordpinescc2@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,5/1/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.samfordpines.com.au/index.asp,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $68.00""",6.45am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000980,PR-00000781,Out fo Hours Care*,Samford State School Outside School Hours Care,Samford State School P&C Association,Samford State School  School Road,SAMFORD,QLD,4520,07 3430 9145,07 3430 9152,oshc_samford@techsus.com.au, The maximum number of children able to be provided with education and care after school is 85 The maximum number of children able to be provided with education and care before school is 55 The maximum number of children able to be provided with education and care during school holidays is 50 This service is approved to provide education and care to children from over preschool age including school children.,85,11/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://samfordss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: $10.00, ASC: $16.00, VC: $40.00""","""BSC: 6.45am - 9.00am, ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00002113,PR-00000993,Short Day Care,Samford Valley Steiner School Early Childhood Centre,Rudolf Steiner Education Group - Brisbane (Inc),5 Narrawa Drive  ,WIGHTS MOUNTAIN,QLD,4520,07 3430 9600,07 3430 9630,info@samfordsteiner.qld.edu.au, at all times that education and care is being provided under this service approval there must not be less than 3.25m2 of indoor play space and 7m2 of outdoor play space per child attending the premise with the total number of children at the premise not to exceed 42 including the children being educated and cared for under this service approval and any other children using the premise.  This service is approved to provide education and care to children from 36 months up to and including school children.,14,6/17/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://samfordsteiner.qld.edu.au/education/pre-prep-prep-years/,"""ages 4 years to 5 years""",,8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00013967,PR-00000993,Outside Hours Care,Samford Valley Steiner School Outside School Hours Care,Rudolf Steiner Education Group - Brisbane (Inc),5 Narrawa Drive    ,WIGHTS MOUNTAIN,QLD,4520,07 3430 9600,07 3430 9630,oshc@samfordsteiner.qld.edu.au, This service is approved to provide education and care to children after school and during school holidays This service is approved to provide education and care to children from over preschool age including school children.,50,1/28/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00001942,PR-00000838,Long Day Care,Tadpoles Early Learning Centres - Samford,Bhl Childcare Limited,1 Chalmers Court  ,SAMFORD,QLD,4520,07 3289 3877,,samford@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,9/5/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.tadpoles.com.au/our-locations/tadpoles-samford.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $78.50""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001338,PR-00000956,Short Day Care,Dayboro Community Kindergarten ,Dayboro Community Kindergarten Association Inc,McKenzie Street  Tullamore Park,DAYBORO,QLD,4521,07 3425 1589,3425 1588,dayborok@bigpond.net.au, This service is approved to provide education and care to children form 36 months up to and including over preschool age not including school children.,25,5/31/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.dayborokindy.com.au/,"""ages 3 years to 5 years""","""3 years - 5 years: $28.00""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000516,PR-40000987,Long Day Care,Gramma's House,Melanna Child Care Pty. Ltd.,18 Edmonds Court  ,DAYBORO,QLD,4521,07 3425 1674,,1grammashouse@gmail.com, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,44,6/30/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.grammashouse.com.au/,,,6.30am - 6.00pm,,,,,,,,,T,,,,,,,,,,,,
SE-00001145,PR-00001030,Outside of Hours Care,Helping Hands Dayboro,Helping Hands Network Pty Ltd,C/- Dayboro State School  58 Mckenzie Street,DAYBORO,QLD,4521,0459 991 697 / 3425 2200,,dayboro@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,34,7/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002069,PR-00001057,Long Day Care*,Lead Childcare - Dayboro,Leading Child Care Pty Ltd,23 Williams Street  ,DAYBORO,QLD,4521,3425 2113,,dayboro@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,65,10/30/14,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.leadchildcare.com.au/centre/dayboro/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $73.00, 25 months - 5 years: $70.00""",6.30am - 6.30pm,,T,,,,,,,,,,,,,,,,,,,
SE-00001151,PR-00002539,Out of Hours Care,Camp Australia - Landsborough State School OSHC,Camp Australia Pty Limited,Landsborough State School  41 Gympie Street North,LANDSBOROUGH,QLD,4550,0402 274 532,075494 8272,qldlands@oshccampaustralia.com.au, An approved alternative solution relating to Performance Criteria  P18 within SP5.4 – Child Care Centres of the Queensland Development Code with a publication date of 16 November 2007 applies to this service. This service is approved to provide education and care to children from over preschool age including school age children.,45,7/27/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDLandsborough/3974,"""ages 5 years to 12 years""","""BSC: $15.87, ASC: $22.71, PFD: $40.00""","""BSC: 6.45am - 8.45am, ASC: 2.30pm - 6.00pm, PFD:  7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000358,PR-00000688,Long Day Care,Landsborough Child Care Centre,Jumbaru Pty Ltd,10 Mill Street  ,LANDSBOROUGH,QLD,4550,07 5494 8200,5494 8090,landcc@westnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,60,2/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 13 months to 5 years""","""13 months - 5 years: $65.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001530,PR-00000466,Short Day Care,Landsborough Kindergarten,Landsborough Kindergarten Assoc Inc,13 Maleny Road  ,LANDSBOROUGH,QLD,4550,5494 1248,5494 1248,landsboroughkindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,1/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 3 years to 5 years""","""3 years - 5 years: $22.00""",8.30am - 2.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000495,PR-00000044,Long Day Care,Aroona Child Care Centre,All About Children Pty Ltd,134 Beerburrum Street  ,AROONA,QLD,4551,07 5492 6599,5492 6510,kathy@aroonachildcare.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,7/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.aroonachildcare.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $73.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
