ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00001470,PR-00000697,School hours care,St John's Lutheran Church Kindergarten & Preschool,Lutheran Church of Australia Queensland District,24 Levington Road  ,EIGHT MILE PLAINS,QLD,4113,07 3341 6171,3341 5926,stjohns.kgt8mp@qlecs.org.au,,25,5/10/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://sjlc.org.au/kindergarten,3.5 - 4.5 years,,9:00am - 2:30pm,F,F,F,,,F
SE-00001852,PR-00001153,Child care,Sunkids Children's Centre-Eight Mile Plains,Kinder Educentres Pty Ltd ATF the Farro Trust,32 Gaskell Street  ,EIGHT MILE PLAINS,QLD,4113,07 3423 1122,07 3423 1200,eightmileplains@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,10/17/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://eightmileplainschildcare.com.au/,6 weeks -  5 years,"""6 weeks - 24 months: $79.00, 25 - 35 months: $77.00, 36 months - 5 years: $74.00""",6:00am - 6:00pm,T,F,F,,F,F
SE-00000476,PR-00000885,Child care,The Village Early Learning Centre,Mayer Learning Systems Pty Ltd ATF Mayer Investment Trust,104 Holmead Road  ,EIGHT MILE PLAINS,QLD,4113,07 3841 0699,07 3219 0730,sharon@thevillageelc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,8/31/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.thevillageelc.com.au/,15 months - 6 years,"""15 - 30 months - $64.00 - $67.00, 30 months - 3 years: $62.00 - $65.00, 4 - 6 years: $60.00 - $64.00""",7:00am - 6:00pm,T,F,F,,,F
SE-00002206,PR-00000885,"Child care, OSHC",The Village II Early Learning Centre,Mayer Learning Systems Pty Ltd ATF Mayer Investment Trust,83 Holmead Road  ,EIGHT MILE PLAINS,QLD,4113,07 3841 8855,07 3392 3553,management@thevillageelc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,8/31/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.thevillageelc.com.au/,15 months - 12 years,"""15 - 30 months: $68.00 - $71.00, 30 months - 3 years: $66.00 - $69.00, 3 - 4 years: $65.00 - $68.00, 4 - 5 years: $64.00 - $67.00, 5 - 12 years ASC: $17.00, 5 - 12 years VC: $40.00""",7:00am - 6:00pm,T,F,F,,F,F
SE-00000077,PR-00000968,Child care,Tiny Tiger Early Learning Centre,AS & RJ Management Pty Ltd,18 Pine Street  ,RUNCORN,QLD,4113,07 3841 0633,07 3841 0632,tinytigerelc@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,6/23/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,"""15 months - 5 years: $71.00""",7:00am - 6:00pm,T,T,F,F,,F
SE-00001845,PR-00000877,Child care,123 Grow Logan Central,Superior Care Group Pty Ltd,12-14 Croydon Rd  ,LOGAN CENTRAL,QLD,4114,3208 8411,3208 8511,logancentral@123grow.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,70,7/11/11,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.123grow.com.au/,6 weeks - 5 years,"""6 weeks - 12 months: $67.50, 13 months - 5 years: $65.50""",6:30am - 6:30pm,T,F,F,,,F
SE-00002305,PR-00000697,Child care,Amana Family Day Care Scheme,Lutheran Church of Australia Queensland District,8 Laurel Street  ,WOODRIDGE,QLD,4114,07 3208 0882,07 3208 0374,amana.fdc@qlecs.org.au,,0,5/26/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.amanafamilydaycare.com.au/,6 weeks - 12 years,"""6 weeks - 12 years: $4.70 - $8.50 per hour + $20.00 enrolment family""",,,,,,,F
SE-00000519,PR-00000345,"Child care, OSHC",Ariel Childcare Centre & Preschool,Anchi International Pty Ltd,4 Ariel Avenue  ,KINGSTON,QLD,4114,07 3808 5658,07 3808 5882,mitsupermarket@yahoo.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,10/1/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,,13 months - 12 years,"""13 months - 5 years: $62.00 - $78.00, 5 - 12 years BSC: $20.00, 5- 12 years ASC: $25.00, 5 - 12 years VC: $52.00""",6:30am - 6:30pm,T,F,F,,,F
SE-40000506,PR-40000481,Child care,Bright Stars Family Day Care,Bright Stars Family Day Care Pty Ltd,2/94 Wembley Road  ,LOGAN CENTRAL,QLD,4114,07 4639 2003,07 4639 5008,brightstarsfdc@gmail.com,,0,2/20/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,,,,,,,,,F
SE-00001299,PR-00000705,School hours care,Burragah Kindergarten,Burragah Aboriginal and Islander Advancement Co-Operative Society Ltd,25 Jacaranda Avenue  ,WOODRIDGE,QLD,4114,07 3209 4755,,burragahpreschool@bigpond.com,,23,7/21/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/burragah,3 - 4.5 years,"""3 - 4.5 years: $5.00 per day""",9:00am - 3:00pm,F,F,F,,,F
SE-00000821,PR-00008029,Child care,C&K Family Day Care - Southern South East Qld,The Creche and Kindergarten Association Limited,35A North Road  ,WOODRIDGE,QLD,4114,07 3208 7700,07 3299 1099,wfdc@candk.asn.au,,0,6/4/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/woodridgefdc,,,,,,,,,T
SE-00014027,PR-00008029,School hours care,C&K Kingston Community Kindergarten,The Creche and Kindergarten Association Limited, 67 Laughlin Street   ,KINGSTON,QLD,4114,07 3552 5349,07 3299 1935,kingston@candk.asn.au,,48,7/20/12,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.candk.asn.au/kingston,3.5 - 4.5 years,"""3.5 - 4.5 years: $27.00 per day""",,F,F,F,,,T
SE-00014056,PR-00008029,School hours care,C&K Woodridge North Community Kindergarten,The Creche and Kindergarten Association Limited, 15 Maweson Stret   ,WOODRIDGE,QLD,4114,07 3208 5435,07 3208 5435,woodridge@candk.asn.au,,24,7/20/12,Working Towards NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/woodridgenorth,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T
SE-00000446,PR-00000959,Child care,Cherubs On Leichhardt Early Care and Education Centre,Paygaz Pty Ltd,11 Leichhardt Street  ,WOODRIDGE,QLD,4114,07 3808 9888,07 3808 2713,cherubs@onestream.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,149,4/2/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,,6:00am - 6:00pm,,,,,,F
SE-00000178,PR-00001134,Child care,Groves Christian College Early Learning Centre,Christian Community Ministries Limited,44 Laughlin Street  ,KINGSTON,QLD,4114,07 3208 2007,,Rochelle.bevan@groves.qld.edu.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,55,5/1/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://groves.qld.edu.au/about-us/learning-phases/early-learning-centre/,15 months - 5 years,"""15 months - 5 years: $64.00""",,F,F,F,,,F
SE-40001776,PR-00001134,School hours care,Groves Christian College Kindergarten,Christian Community Ministries Limited,Groves Christian College  70 Laughlin St,KINGSTON,QLD,4114,738276500,738083027,office@groves.qld.edu.au,,24,2/25/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://groves.qld.edu.au/about-us/learning-phases/early-learning-centre/,3.5 - 4.5 years,"""3.5 - 4.5 years: $54.00""",8:30am - 2:30pm,F,F,F,,,F
SE-00001925,PR-00001134,OSHC,Groves Christian College School Age Care Service,Christian Community Ministries Limited,70 Laughlin Street  ,KINGSTON,QLD,4114,07 3827 6535,07 3808 3027,rochelle.bevan@groves.qld.edu.au,,45,8/5/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,"""ASC: $18.00""",3:00 - 6:00pm,F,F,F,,,F
SE-00000405,PR-00000793,"Child care, OSHC",Joeys Child Care & Early Learning Centre,Feng Holdings Pty Ltd ATF the Feng Family Trust,65-67 Wembley Road  ,WOODRIDGE,QLD,4114,3808 6944,3290 6326,samfeng@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,4/27/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.joeyschildcare.com.au/home.php,15 months - 12 years,"""15 months - 5 years: $67.50, 5 - 12 years BSC: $18.00, 5 - 12 years ASC: $24.00, 5 - 12 years VC: $60.00""",6:30am - 6:00pm,T,T,F,,,F
SE-40000730,PR-00006708,Child care,Juba Star Family Day Care Pty Ltd,Juba Star Family Day Care Pty Ltd,3/91 Wembley Road  ,LOGAN CENTRAL,QLD,4114,732901320,732900616,jubastarfamilydaycare@yahoo.com.au,,0,8/9/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 12 years,"""6 weeks - 12 years: $5.50 - $6.50 per hour""",,,,,,,F
SE-00000192,PR-40001112,Child care,Kidikingdom Child Care ,Affinity Education Group Limited,54 Railway Parade  ,WOODRIDGE,QLD,4114,07 3808 3060,07 3808 6946,kidikingdom@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,85,3/25/10,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.kidikingdom.com,6 weeks -  12 years,"""6 weeks - 5 years: $72.00 - $75.00, 5 - 12 years BSC: $30.00, 5 - 12 years ASC: $30.00, 5 - 12 years VC: $65.00""",6:30am - 6:00pm,T,F,F,,,T
SE-00000718,PR-00000344,Child care,Kids Village Child Care Centre,Queensland Early Childhood Centres Pty Ltd,153 Smith Road  ,WOODRIDGE,QLD,4114,07 3299 2500,07 3299 2500,KidsVillage@qccs.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 57 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,52,11/30/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=24&name=Kids+Village+Early+Childhood+Centre+%26+Pre-school,15 months - 5 years,"""13 - 24 months: $75.00, 25 - 36 months: $73.00, 36 months - 5 years: $68.00""",6:00am - 6:00pm,T,F,F,T,,F
SE-00000346,PR-00001132,Child care,Kingston Kids Early Learning Centre,Taigum Investments Pty Ltd as Trustee for The Taigum Investment Trust,6 Juers Street  ,KINGSTON,QLD,4114,07 3290 3688,,kingstonkids@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,4/8/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,15 months - 5 years,"""15 months - 5 years: $66.00""",6:00am - 6:00pm,T,F,F,,,F
SE-00000179,PR-00007936,Child care,Kingston Tiny Tots  Learning Centre,Gravel and Joseph Pty Ltd ATF Gravel and Joseph Trust,3-7 Yalumba Street  ,KINGSTON,QLD,4114,07 3208 9088,07 3208 9088,tinytotsk@yahoo.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is not required to comply with P9 to the extent it relates to the location of a built-in bath or shower of SP5.4: Child Care Centres of the Queensland Development Code (publication date 1 September 2003). This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,56,9/28/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://tinytots.net.au/,15 months - 5 years,"""15 months - 5 years: $66.00""",6:30am - 6:30pm,T,F,F,,,F
SE-00000407,PR-00001179,Child care,Little Aussie Kids At Kingston,Be Happy Don't Worry Pty Ltd,3 Arch Street  ,KINGSTON,QLD,4114,07 3299 1516,07 3209 2788,aussie.kids@optusnet.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,40,8/24/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,,,6:30am - 6:30pm,,,,,,F
SE-00001724,PR-00001166,Child care,Logan Central Children's Community,Datned Pty Ltd ATF the T.Notley Family Trust,49 Wembley Road  ,LOGAN CENTRAL,QLD,4114,07 3208 3209,07 3208 3575,lccc49@yahoo.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,10/2/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://logancentralchildrenscommunity.com.au/,6 weeks - 5 years,,6:00am - 6:00pm,F,F,F,,,F
SE-40000745,PR-40000637,Child care,Motherly Love Family Day care,Motherly Love Family Day Care,15/45 Station Road  ,LOGAN CENTRAL,QLD,4114,0448 964 549,,enquiries@mlove.com.au,,0,11/5/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,,,,,,,,F
