ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-40001350,PR-00000595,Short Day Care,St Brigid's Catholic Pre-Preparatory Centre,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Gregory Hwy  ,EMERALD,QLD,4720,408158919,,kindergarten@rok.catholic.edu.au,,22,12/19/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.rok.catholic.edu.au/early_learning.htm,"""ages 36 months - 5 years""","""36 months - 5 years: $30.00""",,,,,,,,,,,,,,,,,,,,,,
SE-00014011,PR-00008029,Short Day Care,C&K Clermont Community Kindergarten,The Creche and Kindergarten Association Limited, 11 Hethrington Street   ,CLERMONT,QLD,4721,07 4983 2027,,clermont@candk.asn.au,,24,7/21/16,Meeting NQS,Exceeding NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/clermont,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00000027,PR-00000206,"""Long Day Care, Out of Hours Care""",Clermont Kindergarten Day Care Centre,Clermont Kindergarten Day Care Centre Association Inc,6 Beatty Street  ,CLERMONT,QLD,4721,4983 2084,4983 2420,clermontdaycare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,4/3/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://clermontkindy.com.au/,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $65.00, BSC: $17.00, ASC: $25.00""",7.00am - 5.30pm,,,,,,,,,T,,,,,,,,,,,,
SE-00001467,PR-00008029,Short Day Care,C&K Springsure Community Kindergarten,The Creche and Kindergarten Association Limited,36 Leichhardt Street  ,SPRINGSURE,QLD,4722,07 4984 1241,4984 1251,springsure@candk.asn.au,,20,5/4/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/springsure,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $28.08""",8.20am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00002277,PR-00000595,Short Day Care,Our Lady Of The Sacred Heart Primary School Pre-Preparatory Centre,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Gap Street  ,SPRINGSURE,QLD,4722,074984 1525,074984 1353,olshs@rok.catholic.edu.au, This service is approved to provide a rest period from 1:35pm to 2:15pm on Monday to Thursday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,20,1/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rok.catholic.edu.au/early_learning.htm,"""ages 3.5 years to 5 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00014060,PR-00008029,Short Day Care,C&K Capella Early Childhood Centre,The Creche and Kindergarten Association Limited,Cnr Crinum and Huntley Streets  ,CAPELLA,QLD,4723,07 4984 9571,07 4984 9167,capella@candk.asn.au,,24,7/21/16,Exceeding NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/capella,"""ages 24 months to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 3.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001595,PR-00008029,Short Day Care,C&K Jellybeans Community Kindergarten,The Creche and Kindergarten Association Limited,Moore Street  ,ALPHA,QLD,4724,07 4985 1888,07 4985 1888,jellybeans@candk.asn.au, This service is approved to provide education and care to children from 30 months up to and including over preschool age not including school children,21,5/21/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/jellybeans,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $25.00""",8.00am - 3.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00001268,PR-00000633,Short Day Care,Barcaldine Kindergarten,Barcaldine Kindergarten Association Inc,55 Ash Street  ,BARCALDINE,QLD,4725,07 4651 1614,,barcaldinekindy@bigpond.com,,22,5/29/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/sites/default/files/centres/CK_Barcaldine_Kinder/Barcaldine%20Kindergarten%20Parent%20Handbook%202013.pdf,"""ages 36 months to 5 years""","""36 months 0 5 years: $25.00""",8.45am - 2.45pm,,,,,,,,,,,,,,,,,,,,,
SE-00002153,PR-00000595,Short Day Care,St Joseph's Catholic Primary School Pre Preparatory Centre Barcaldine,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,23 Willow Street  ,BARCALDINE,QLD,4725,4651 2450,4651 2451,jane_dickson@rok.catholic.edu.au , This service is approved to provide a rest period from 1:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,21,9/15/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.rok.catholic.edu.au/early_learning.htm,"""ages 3.5 years to 5 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00000288,PR-00000552,Long Day Care,Longreach  Child Care Centre,Longreach Regional Council,5 - 7  Wompoo Road  ,LONGREACH,QLD,4730,07 4652 5300,07 4658 3694,managerccs@longreach.qld.gov.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,100,9/24/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,,"""ages 6 weeks to 6 years""","""6 weeks - 6 years: $85.80""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000839,PR-00000552,Family Day Care,Longreach & Districts Family Day Care Service,Longreach Regional Council,5 - 7  Wompoo Road  ,LONGREACH,QLD,4730,07 4652 5300,4658 3694,managerccs@longreach.qld.gov.au,,0,9/24/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.longreach.qld.gov.au/,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $5.00 - $12.00 per hour*""",12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00001540,PR-00000348,Short Day Care,Longreach Community Kindergarten,Longreach Kindergarten Association Inc,Cnr Wonga and Falcon Streets  ,LONGREACH,QLD,4730,07 4658 3992,4658 0245,longreach.kindy@bigpond.com,,25,2/24/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/longreach,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $12.50""",8.30am - 3.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000721,PR-00000490,Long Day Care,"Winton Child Care Centre ""Little Swaggies""",Winton Shire Council,47 Cork Street  ,WINTON,QLD,4735,07 4657 1522,4657 0212,wintonccc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,41,3/3/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.winton.qld.gov.au/child-care,"""ages 6 weeks to 12 years""","""6 weeks - 6 years: $65.00""",7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00014025,PR-00008029,Short Day Care,C&K Hoey Street Community Kindergarten,The Creche and Kindergarten Association Limited,19 Hoey Street    ,SARINA,QLD,4737,07 4943 0686,07 4943 0689,director.hoeyst@candk.asn.au,,24,7/21/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/hoeystreet,"""ages 36 months - 5 years""","""3.5 years - 5 years: $29.12""",8.45am - 2.45pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00002194,PR-00001046,Long Day Care,Grandma's Place,D&J Hawkins Developments Pty Ltd ATF The Hawkins Family Trust and Bobbermein Holdings Pty Ltd ATF The Bobbermein Family Trust,10A Brandon Street  ,SARINA,QLD,4737,49562876,49561423,admin@grandmasplace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,5/11/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.grandmasplace.com.au/,"""ages 6 weeks to 12 years""","""6 weeks 6 years: $65.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000483,PR-00000863,Long Day Care,Kids College @ Sarina,I & S Donnelly Pty Ltd & P & R Childcare Pty Ltd,Lot 3 Elizabeth Street  ,SARINA,QLD,4737,07 49431433,074943 1840,rko2006@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,12/1/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kidscollegesarina.com.au/,"""ages 15 months to 6 years""",,6.30am - 6.30pm,,,,,,,,,T,,,,,,,,,,,,
SE-00001462,PR-00000452,Short Day Care,Sarina and District Community Kindergarten,Sarina & District Community Kindergarten Association Inc,Lee Street  ,SARINA,QLD,4737,07 4956 1580,4956 1580,sarinakindy@bigpond.com,,25,8/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://www.facebook.com/pages/Sarina-and-District-Community-Kindergarten/124262040984112,"""ages 36 months - 5 years""",,8.30am - 2.30pm,,,,,,T,$5.50,F,,,,,,,,,,,,,
SE-00000356,PR-00006699,Long Day Care,Adeona Mackay,AM Management Pty Ltd,63 Celeber Drive  ,ANDERGROVE,QLD,4740,07 4942 5563,07 4942 5563,adeona.mackay@adeona.com.au,,45,11/3/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.adeona.com.au/mackay/about-mackay,"""ages 24 months to 5 years""","""24 months - 5 years: $85.00""",7.00am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000193,PR-00000576,,Birralee Child Care Centre,Birralee Child Care Association Inc,33 Clements Streets  ,SOUTH MACKAY,QLD,4740,07 4952 3585,4952 5846,birraleechildcare@hotmail.com,,44,7/2/15,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000828,PR-00000526,Family Day Care,Blue River Family Day Care,Family Day Care Association Queensland Inc,256 Bedford Road  ,ANDERGROVE,QLD,4740,07 4955 2792,4955 4188,blueriver@fdcaq.com.au,,0,9/9/15,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.fdcqld.org/blue-river-family-day-care,"""ages 6 weeks to 12 years""",,12.00am - 11.59pm,,,,,,,,,,,,,,,,,,,,,
SE-00002287,PR-00008029,Short Day Care,C&K Beaconsfield Community Kindergarten,The Creche and Kindergarten Association Limited,Nadina Street  ,BEACONSFIELD,QLD,4740,749428057,749429045,beaconsfield@candk.asn.au,,24,8/17/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.candk.asn.au/beaconsfield,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00001342,PR-00008029,Short Day Care,C&K East Mackay Community Kindergarten,The Creche and Kindergarten Association Limited,20 Hoey Street  ,MACKAY,QLD,4740,07 4957 4669,07 4957 4669,eastmackay@candk.asn.au,,25,5/17/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/eastmackay,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $26.52""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00014017,PR-00008029,Short Day Care,C&K Eimeo Road Community Kindergarten,The Creche and Kindergarten Association Limited,30 Arana Drive   ,RURAL VIEW,QLD,4740,48402052,48402053,eimeoroad@candk.asn.au,,48,7/21/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/eimeoroad,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00014034,PR-00008029,Short Day Care,C&K Mackay North Community Kindergarten,The Creche and Kindergarten Association Limited,3 School Street   ,NORTH MACKAY,QLD,4740,07 4951 0510,07 4951 0980,mackaynorth@candk.asn.au,,24,7/21/16,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,http://www.candk.asn.au/mackaynorth,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-00002342,PR-00008029,Short Day Care,C&K Slade Point Community Kindergarten,The Creche and Kindergarten Association Limited,15 Pheasant Street  Slade Point,MACKAY,QLD,4740,407181515,,sladepoint@candk.asn.au,,24,3/22/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/sladepoint,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-40000498,PR-00006557,Out of Hours Care,Camp Australia - Andergrove State School OSHC,The Camp Australia Foundation Ltd,Fernleigh Ave  ,ANDERGROVE,QLD,4740,421579532,,qldandergrove@oshccampaustralia.com.au,,35,3/27/17,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.campaustralia.com.au/Service/QLDAndergroveStateSchool/351B,"""ages 5 years to 12 years""","""BSC: $13.00, ASC: $19.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm""",,,,,,,,,T,,,,,,,,,,,,
SE-00011358,PR-00006557,Out of Hours Care,Camp Australia - Mackay North State School OSHC,The Camp Australia Foundation Ltd,Harvey Street    ,NORTH MACKAY,QLD,4740,0404 797 802, ,qldmackaynorth@oshccampaustralia.com.au,,60,12/14/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.campaustralia.com.au/Service/QLDMackayNorthStateSchool/76E5,"""ages 5 years to 12 years""","""BSC: $13.00, ASC: $18.50""","""BSC: 6.30am - 8.45am, ASC: 2.45pm - 5.45pm""",,,,,,,,,T,,,,,,,,,,,,
SE-40001637,PR-00006557,Out of Hours Care,Camp Australia- Northview State School OSHC,The Camp Australia Foundation Ltd,Northview State School  54 Pioneer St,MOUNT PLEASANT,QLD,4740,0404 460 958,,qldnorthview@campaustralia.com.au,,70,1/30/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.campaustralia.com.au/Service/QLDNorthviewStateSchool-Mackay/A9C9,"""ages 5 years to 12 years""","""BSC: $13.00, ASC: $18.00""","""BSC: 6.30am - 9.00am, ASC: 3.00pm - 6.00pm""",,,,,,,,,T,,,,,,,,,,,,
SE-00002170,PR-00001029,Long Day Care,Carlisle Early Learning Centre,Seventh-Day Adventist Schools (Northern Australia) Limited,17 Holts Road  Beaconsfield,MACKAY,QLD,4740,749424204,749425095,carlisleelc@gmail.com,,20,2/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://carlisle.adventist.edu.au/early-learning-centre-enrolment,"""ages 36 months to 5 years""","""36 months - 5 years: $57.00""",8.30am - 4.30pm,,,,,,,,,,,,,,,,,,,,,
SE-40000175,PR-00000595,Short Day Care,Emmanuel Kindergarten Mount Pleasant,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Baxter Dr  ,MOUNT PLEASANT,QLD,4740,749313753,,kindergarten@rok.catholic.edu.au,,22,1/23/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.rok.catholic.edu.au/early_learning.htm,"""ages 36 months to 5 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001641,PR-00000898,Long Day Care,Glenella Child Care and Education Centre,G8 Education Limited,21-23 Schapers Road  ,GLENELLA,QLD,4740,749429486,,glenella@communitykids.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,74,11/17/14,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,http://www.communitykids.com.au/,"""ages 6 weeks to 6 years""","""6 weeks - 35 months: $86.00, 36 months - 6 years: $85.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001703,PR-00001129,Long Day Care,Goodstart Early Learning Andergrove,Goodstart Early Learning Ltd,2-10 Emperor Drive  ,ANDERGROVE,QLD,4740,07 4955 0411,4955 0477,hud@goodstart.org.au,,75,12/1/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.goodstart.org.au/centres/andergrove/overview,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $90.50, 13 months - 24 months: $88.40, 25 months - 35 months: $83.80, 36 months - 5 years: $81.20""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000575,PR-00001129,Long Day Care,Goodstart Early Learning Eimeo,Goodstart Early Learning Ltd,5 - 9 Old Eimeo Road  ,EIMEO,QLD,4740,07 4954 6246,4954 6244,eim@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,12/1/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.goodstart.org.au/centres/eimeo/overview,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $91.90, 13 months - 24 months: $89.30, 25 months - 5 years: $82.70""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001924,PR-00001129,Long Day Care,Goodstart Early Learning Mackay - Bridge Road 1,Goodstart Early Learning Ltd,1 - 3 Brooks Street  ,WEST MACKAY,QLD,4740,49534133,,mcy@goodstart.org.au, This service is approved to provide education and care to children from 15 months up to and including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/mackay-bridge-road/overview,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $90.80, 13 months - 24 months: 88.50, 25 months - 35 months: $83.40, 36 months - 5 years: $80.10""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001936,PR-00001129,Long Day Care,Goodstart Early Learning Mackay - Bridge Road 2,Goodstart Early Learning Ltd,1 - 3 Brooks Street  ,WEST MACKAY,QLD,4740,49535466,,mcy2@goodstart.org.au,,30,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/mackay-bridge-road/overview,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $90.80, 13 months - 24 months: 88.50, 25 months - 35 months: $83.40, 36 months - 5 years: $80.10""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000736,PR-00001129,Long Day Care,Goodstart Early Learning Mackay - Macalister Street,Goodstart Early Learning Ltd,46 Macalister Street  ,MACKAY,QLD,4740,07 4953 0363,07 4953 0363,mky@goodstart.org.au,,75,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/mackay-macalister-street/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $90.70, 25 months - 35 months: $86.00, 36 months - 5 years: $83.40""",6.30am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000579,PR-00001129,Long Day Care,Goodstart Early Learning Mackay - Shakespeare Street,Goodstart Early Learning Ltd,61 Shakespeare Street  ,MACKAY,QLD,4740,4957 3445,4957 7338,mas@goodstart.org.au, This service is approved to provide education and care to children from 15 months up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,12/1/15,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Working Towards NQS,http://www.goodstart.org.au/centres/mackay-shakespeare-street/overview,"""ages 15 months to 5 years""","""15 months - 24 months: $89.20, 25 months - 35 months: $83.60, 36 months - 5 years: $81.50""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000742,PR-00001129,Long Day Care,Goodstart Early Learning Mount Pleasant,Goodstart Early Learning Ltd,1 Clearvista Crescent  Greenfields,MOUNT PLEASANT,QLD,4740,07 4942 5766,07 49425799,kdz@goodstart.org.au, This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/mount-pleasant/overview,"""ages 15 months to 6 years""","""15 months - 24 months: $86.30, 25 months - 35 months: $82.70, 36 months - 6 years: $79.00""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000216,PR-00001129,Long Day Care,Goodstart Early Learning North Mackay,Goodstart Early Learning Ltd,19 Hamilton Street  ,NORTH MACKAY,QLD,4740,07 4951 2357,4951 4980,mmk@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,86,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/north-mackay/overview,"""ages 15 months to 5 years""","""15 months - 24 months: $85.30, 25 months - 35 months: $81.10, 36 months - 5 years: $79.00""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
